consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,8.74904,space,13.099525,4,29.77983,0,0,0,426,1,the ugly glass coffee table sits in front of the thrift store couch,there is a candle on the glass coffee table near the sofa,wolfe2,046_R_remote,3,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,5,18.10008,0,1,1,724,1,a sea green bathroom with a decorative sink with one faucet handle,a sea green bathroom with a decorative sink with two faucet handles,wolfe2,078_L_faucet,6,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,5,12.651285,0,2,2,197,1,a hippie-style office with a chair facing a desk that has a black mat on it.,a hippie-style office with a chair facing a desk that has a black mat with a keyboard on it.,wolfe2,021_R_keyboard,1,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,2,36.400995,0,3,3,601,1,there are no books on the shelf,bookks appear to be on the shelf,wolfe2,065_R_cd,2,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,3,11.4145,0,4,4,398,1,a modern living room with no clock in the cupboard,a modern living room with a clock in the cupboard,wolfe2,043_R_clock,1,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,4,24.134205,0,5,5,634,1,a bathroom with a black bathtub with a missing panel near the faucet,a athroom with a black bathtub with two panels near the faucet.,wolfe2,068_R_faucet,5,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,5,8.14668,0,6,6,487,1,a large stone bathroom that has a cabinet with one lower drawer,a large stone bathroom that has a cabinet with two lower drawers,wolfe2,053_L_handle,4,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,5,5.00383,0,7,7,175,1,a modern patio with one light fixture on the wall.,a modern patio with two light fixtures on the wall,wolfe2,019_L_lamp_sized,2,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,1,10.047005,0,8,8,588,1,an olive colored wall in a well decorated dining room,a brown jug sitting on a brown dresser,wolfe2,064_L_bottles,2,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
,,,,5,6.905995,0,9,9,567,1,a set dining room table with three wine glasses,a set dining room table with four wine glasses,wolfe2,061_R_glass,6,23,A2DRD3VXAR8MBJ,2021-01-24_18h38.37.421,MetaAwareness,2020.1.2,MacIntel,60,3YZ7A3YHR6WZYUVMAUTH6MV33UO5SS,A2DRD3VXAR8MBJ,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,TZZ23,TZZ23,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,32Z9ZLUT1MNZ2FLIUHIJZXJG1RIOHV,271073,271073,,,,,,,,,,
