"workerId","RT","image_1_text","image_2_text","database","image"
"A1198W1SPF1R4",98.173695,"two yellow pumpkins sitting on a colorful quilt","one yellow pumpkins sitting on a colorful quilt","ma","1383096"
"A1198W1SPF1R4",175.15138,"a pencil and a hammer are put in front of a green plastic box like structure on a wooden board surrounded by four wooden panels.","a hammer is put in front of a green plastic box like structure on a wooden board surrounded by four wooden panels.","ma","45525109"
"A1198W1SPF1R4",114.12657,"a brown cake with face features  and a yellow mouth is put next to a big red cake on a bakery shelf.","a brown cake with face features and a red mouth is put next to a big red cake on a bakery shelf.","ma","46635293"
"A1198W1SPF1R4",145.213195,"there are 24 pictures hung on the wall and the fifth picture on the second row from the left has a grey background.","there are 24 pictures hung on the wall and the fifth picture on the second row from the left has a black background.","ma","83691215"
"A1198W1SPF1R4",414.92631,"there are a pile of rocks to the right of the flowers and the rock to the rightmost of the picture is grey","there are a pile of rocks to the right of the flowers and the rocks to the rightmost of the picture are sandy or brown.","ma","56835136"
"A1198W1SPF1R4",195.71876,"there are 15 cookies on the plate and the brown face cookie at south west direction has its hair facing north east.","there are 15 cookies on the plate and the brown face cookie at south west direction has its hair facing north west.","ma","75081153"
"A1198W1SPF1R4",273.234565,"there is a picture, a lamp, a flower vase, a letter a decor and a blue ball with a big  white cup in the picture","there is a picture, a lamp, a flower vase, a letter a decor and a blue ball with a small white cup in the picture","ma","10504629"
"A1198W1SPF1R4",230.315895,"there are flowers, sea shells, pine cone, some wooden art work and a blue vase on a yellow mat","there are flowers, sea shells, pine cone, some wooden art work, a blue vast and a pile of tiny brown stones on a yellow mat","ma","22020472"
"A1198W1SPF1R4",150.182715,"there are notebooks, stationery, glues, scissors and a yellow small notebook on the top right corner","there are notebooks, stationery, glues, scissors and a red small notebook on the top right corner","ma","23199105"
"A1198W1SPF1R4",3048.348405,"there are two rows of backpacks on a shelf with the eighth one on the top row being green, and a bicycle in front of them","there are two rows of backpacks on a shelf with the eighth one on the top row being black, and a bicycle in front of them","ma","79191795"
"A1198W1SPF1R4",259.180345,"there are four elephant keychains magneted to a white board with foreign language words and the last word on the second last row ends with 'i'","there are four elephant keychains magneted to a white board with foreign language words and the last word on the second last row is 'des'","ma","25107991"
