consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,86.212995,space,0.892335,3,11.620395,0,0,0,111,1,a girl dancing in a room wearing some orange shorts,a girl dancing in a room wearing some purple shorts,wolfe1,image-131,6,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,3,2.19885,0,1,1,106,1,a person with a blue shirt begins climbing up a pocked rockside to a cliff from the waters below,a person with a green shirt begins climbing up a pocked rockside to a cliff from the waters below,wolfe1,image-128,4,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,6,4.446325,0,2,2,39,1,"a modern interior of a building, with chairs, and tables with numerous decorations, including a top shelf with a black box","a modern interior of a building, with chairs, and tables with numerous decorations, including a top shelf without a black box",wolfe1,image-039,3,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,6,1.564405,0,3,3,76,1,food stalls in front of bleachers with one customer wearing mint blue pants.,food stalls in front of bleachers with one customer wearing green pants.,wolfe1,image-097,4,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,6,2.9094,0,4,4,11,1,an interior and exterior seating area with a large and small planter,an interior and exterior seating area with a large planter.,wolfe1,image-012,4,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,6,1.57125,0,5,5,42,1,"a red brick factory is next to a small pond and wild area, with a rock sticking out of the pond.","a red brick factory is next to a small pond and wild area, with the pond being clear of rocks.",wolfe1,image-041,4,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,1,5.588635,0,6,6,47,1,9 small barns are outside beneath a vibrant pink sky against a mountain backdrop.,8 small barns are outside beneath a vibrant pink sky against a mountain backdrop.,wolfe1,image-044,1,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,6,2.96345,0,7,7,84,1,"there are three men playing golf, there is a building in the background.",there are three men playing golf there is some type of white building in the background.,wolfe1,image-108,1,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,6,2.40767,0,8,8,75,1,a man is leading a music class with a blue cooler bag underneath the table behind him,a man is leading a music class with a green cooler bag underneath the table behind him,wolfe1,image-096,5,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,4,10.91086,0,9,9,101,1,two people walking a dog towards a pier with three green poles in the water,two people walking a dog towards a pier with two green poles and one brown pole in the water,wolfe1,image-124,5,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
,,,,4,3.751815,0,10,10,53,1,kids on the side of the house after playing in the standing water,kinds on the side of the house after playing in the grass,wolfe1,image-048,2,35,AYKUOC2P53YUY,2021-01-09_17h08.19.500,MetaAwareness,2020.1.2,Win32,60,38G0E1M85N8WB1255Q6UPL7Q0YJVUE,AYKUOC2P53YUY,3B2X28YI3XIZMWCSUTMTWMURK05B66,I22B9,I22B9,3B2X28YI3XIZMWCSUTMTWMURK05B66,3B2X28YI3XIZMWCSUTMTWMURK05B66,268159,268159,,,,,,,,,,
