consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,1.334,space,10.119,5,10.168,0,0,0,64,1,a full stocked kitchen with white and black furniture and a tall black shelf,"a fully stocked kitchen with white and black furniture and a tall black shelf, and a plant",wolfe2,080_R_plant,4,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,5,2.455,0,1,1,97,1,a living room with a decorative piece of art below the tv.,a living room with no items underneath the tv.,wolfe2,126_R_candles,2,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,4,4.023,0,2,2,7,1,there is only one chanlier  in the room,there is two chanlier in the room,wolfe2,013_R_lamp,1,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,5,5.215,0,3,3,58,1,a generic living room with a built-in bookshelf that has candles on the top shelf next to a black box,a generic living room with a built in bookshelf that has a black box on the top shelf,wolfe2,069_R_things,1,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,5,2.155,0,4,4,26,1,a bathroom area with two brown towels,a bathroom area with three brown towels,wolfe2,037_R_towel,2,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,4,2.533,0,5,5,21,1,a spacious living room with one exposed beam on the ceiling.,a spacious living room with two exposed beams on the ceiling.,wolfe2,031_L_log,1,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,4,2.293,0,6,6,50,1,a dining room with dark brown furniture and a table against the wall with a white bowl on it,a dining room with dark brown furniture and a table against the wall with a white bowl and liquer bottle on it,wolfe2,064_R_bottles,4,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,3,4.142,0,7,7,12,1,it's a pretty modern hangout area that appears to be in the patio or backyard.,"modern hangout area in the patio or backyard, but there is now a remote control on the table for the tv.",wolfe2,023_R_remote,3,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,5,2.396,0,8,8,57,1,a lavish bathroom with two faucets,a lavish bathroom with 3 faucets,wolfe2,068_L_faucet,4,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
,,,,5,2.269,0,9,9,83,1,a mirrored fitting room with clothes hangin on both sides of the clothes rack,a mirrored fitting room with clothes inside the left support of the clothes rack,wolfe2,107_L_shirts,1,32,A39K5MR4MCSC56,2021-02-18_12h39.13.510,MetaAwareness,2020.1.2,Linux x86_64,60,37ZQELHEQ110QOONUXTHOUWJ3TFNM4,A39K5MR4MCSC56,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,9RIQ1,9RIQ1,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,3QIYRE09Y4K6GJ0SRDFLSL34X5X1N3,276411,276411,,,,,,,,,,
