consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,2.075325,space,21.66492,5,19.685735,0,0,0,610,1,"a group of people on a sunny day walk along a boardwalk next to businesses, and there is a woman wearing a red shirt near the tropicana building","a group of people on a sunny day walk along a boardwalk next to businesses, and there is a woman wearing a blue shirt near the topicana building",wolfe1,image-134,5,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,5,19.7436,0,1,1,455,1,"a rock surface with many candles, with a brown dish holding many colorful candles on their sides with a green and blue candle on top","a rock surface with many candles, with a brown dish holding many colorful candles with a purple and green candle on top",wolfe1,image-107,5,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,4,8.05285,0,2,2,619,1,a rooftop lounge area overlooking a light blue building,a rooftop lounge area overlooking a pink building,wolfe1,image-136,4,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,3,20.77714,0,3,3,480,1,a plane on the red way getting filled up with gasoline by a yellow and blue truck,a plane sitting on the tarmac getting filled up with gasoline by a red and blue truck,wolfe1,image-111,4,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,5,13.762255,0,4,4,574,1,"adult tourists stand on a street in an asian country in front of a large gray building, and one of the women is wearing blue jeans","adult tourists stand on a street in an asian country in front of a large gray building, and one of the women is wearing grey pants",wolfe1,image-129,5,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,5,13.61738,0,5,5,419,1,children playing on a playground with the young girl on the far right wearing a pinkl shirt.,children playing on a playground with the young girl on the far right wearing a orange shirt.,wolfe1,image-101,4,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,4,12.667705,0,6,6,42,1,there is a woman petting a goat. there is a man in the background that is standing close to the sign.,there is a woman petting a goat. the man who was standing in front of the sign is gone.,wolfe1,image-008,1,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,5,15.448895,0,7,7,135,1,an adult and a child are walking into a clinic that has shrubs on both sides of the entrance,an adult and child are walking into a clinic that has a shrub on one side of the entrance,wolfe1,image-023,3,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,3,35.95002,0,8,8,512,1,open air market with several white tents and one blue tent covering the products.,open air market with several white tents and one rent tent covering the products,wolfe1,image-117,5,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
,,,,5,13.61992,0,9,9,146,1,a brown cushion sitting on a large sectional bench,a white cushion sits on a large sectional bench,wolfe1,image-026,1,24,A10T0161B70BXP,2021-01-07_19h31.54.751,MetaAwareness,2020.1.2,Linux x86_64,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A10T0161B70BXP,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,FJWE2,FJWE2,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,3EWIJTFFVPA2FO2X2V82OTQLANW0EG,267902,267902,,,,,,,,,,
