consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,10.784195,space,132.62961,5,29.736395,0,0,0,392,1,"an eceltic decorated room with artwork hung on the wall with clothes pins, the center artwork being the largest and pink.","a decorated bedroom with artwork hung on the wall with string and clothes pins, the center artwork being pink.",ma,79573638,4,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,2,32.124305,0,1,1,239,1,an orange pumpkin face with a triangle nose placed quite low. ,an orange pumkin face with a triangle nose placed quite high.,ma,55174490,6,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,3,23.86986,0,2,2,429,1,"a kitchen towel decorated with a fish, an apple, and the word 'eat' spelled out with a small 'a'","a kitchen towel decorated with a fish, an apple, and the word 'eat' spelled out with a large 'a'",ma,83785171,6,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,2,18.332255,0,3,3,358,1,a hydrangea arrangement with more green flowers.,a hydrangea arrangement with more blue flowers.,ma,77574131,5,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,2,23.88107,0,4,4,347,1,decorated cupcakes with ribbon fondant with the letter h in the center ,decorated cupcakes with ribbon fondant with the letter e in the center of the ribbon,ma,77345858,5,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,2,29.467435,0,5,5,432,1,a table with round lights and one light has a green top,a table with round lights all white or yellow colored,ma,85741618,3,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,3,12.216255,0,6,6,359,1,a bouquet of flowers on a white table,a bouquet of white and purple flowers on a white table,ma,77574131,6,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,3,26.563295,0,7,7,189,1,"jars filled with seasonings and other kitchen goods sits on a shelf, while one in the bottom center has a red label.","jars filled with seasonings and other kitchen goods sits on a shelf, while one in the bottom center has a green label.",ma,46475259,5,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,4,20.81058,0,8,8,87,1,"a bunch of embroidered houses, one of which has a square window",a bunchof embroidered houses one of which has a rectangular window,ma,23024660,4,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
,,,,4,11.56014,0,9,9,131,1,an yellow color star symbol will be slightly rotated.,an yellow color star symbol will be attached perfectly.,ma,32289063,1,41,A10HW8JXM17XLD,2021-01-07_07h50.17.751,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7QKNA4,A10HW8JXM17XLD,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,H2DV5,H2DV5,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,3VD82FOHKRR8L7A28P4IO6M0MCKOCH,267585,267585,,,,,,,,,,
