consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,23.811,space,5.662,5,5.174,0,0,0,32,1,a kitchen and living area with a microwave,a kitchen and living area,wolfe1,image-006,2,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,6,3.394,0,1,1,396,1,hiker walking along a trail next to a red flower.,hiker walking along a trail next to a yellow flower.,wolfe1,image-095,8,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,3,3.2,0,2,2,2,1,salt and pepper shakers sit atop a wooden dining table of a restaurant outside on a beach overlooking the ocean,wooden dining tables sit atop a wooden floor outside on a beach overlooking the ocean; it is a restaurant with outdoor seating,wolfe1,image-001,3,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,5,3.811,0,3,3,539,1,"an outside concert with a stage and one central performer in orange, some people with umbreallas and a person on the ground with an umbrella",an outdoor concert with a central performer with a guitar and one person with an umbrella on the ground while others stand around,wolfe1,image-122,1,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,4,3.063,0,4,4,448,1,people are at an outdoor event. there is a man looking to the right in a yellow shirt.,people seated at an outdoor event. there is a man looking to the right in a brown shirt.,wolfe1,image-105,4,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,5,3.085,0,5,5,120,1,"many people at park sitting on blankets, with a pink and white bag",many people at a park sitting on blankets ,wolfe1,image-020,5,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,4,2.49,0,6,6,175,1,a scout troop marches in a parade. one of the scouts in front has badges on both sides of her uniform.,a scout troop marches in a parade. one of the scouts in front has badges on one side of her uniform.,wolfe1,image-031,7,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,3,5.254,0,7,7,290,1,two men one in yellow shirt watch motorcross biking,two men one in a green shirt watch motorcross biking,wolfe1,image-076,7,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,5,2.903,0,8,8,104,1,"a group camps on a beach, their kayaks and tents and chairs set up on the sand, including one overlooking the horizon.","a group camps on a beach, their kayaks and tents and chairs set up on the sand, though none overlook the horizon.",wolfe1,image-018,1,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,4,2.481,0,9,9,573,1,a person that's in water and about to climb up a rope. they're wearing a blue life vest.,a person that's in water and about to climb up a rope. they're wearing a green life vest.,wolfe1,image-128,2,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
,,,,3,2.266,0,10,10,177,1,a man in a yellow sportscoat and two women and a child feeding pigeons infront of a castle. there are birds to the right of the boys feet,"a man , two women and a child feeding pigeons in front of a castle, there are no birds to the right of the boys feet.",wolfe1,image-032,2,31,A3IHCHUY9MWMZE,2021-01-07_07h45.33.931,MetaAwareness,2020.1.2,Win32,60,3X2YVV51PV7THTBCTC160LL7W8K1WN,A3IHCHUY9MWMZE,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,VNMP5,VNMP5,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,3PM8NZGV8ZJZ9HYDEYS9RO2A2VTXQ3,267715,267715,,,,,,,,,,
