consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.10607,space,10.18846,5,8.542875,0,0,0,308,1,"patrons sit near an outdoor bar, with a green umbrella nearby","patrons sit near an outdoor bar, with a purple umbrella nearby",wolfe1,image-080,3,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,4,7.53885,0,1,1,418,1,"a group of kids playing on a swingset, there is a girl in a pink shirt in the lower right","a group of kids playing on a swingset, there is a girl in an orange shirt in the lower right",wolfe1,image-101,3,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,5,4.187805,0,2,2,370,1,several students in a school gym taking part in an exercise class. one student is wearing pink pants.,"several students in a school gym taking part in an exercise class, one student is wearing blue pants.",wolfe1,image-093,1,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,4,4.39757,0,3,3,442,1,a man sitting in a crowd wearing a tan shirt,a man sitting in a crowd wearing a pink shirt,wolfe1,image-105,2,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,5,43.000255,0,4,4,117,1,there is a group of people at an outside event. there is a man setting in the middle with a bag setting behind him.,there is a group of people at an outside event. there is a man setting watching but there is no bag setting next to him.,wolfe1,image-020,2,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,4,4.020265,0,5,5,12,1,some people sitting in a room with a curtain on a window,some people in a room with a white wall behind them,wolfe1,image-003,2,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,4,5.258105,0,6,6,426,1,men posing for a photo in front of a seal with one man in a red tie.,twenty men standing in front of a seal and one man has on a purple tie.,wolfe1,image-102,7,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,4,16.845155,0,7,7,416,1,"a group of children play and climb around a swingset, including a young one in a pink shirt.","a group of children play and climb around a swingset, including a young one in an orange shirt.",wolfe1,image-101,1,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,5,8.696885,0,8,8,124,1,four people and 1 watching shoot bow and arrow  there are 3 extra arrows,four people and 1 watching shoot bow and arrow there are 2 extra arrows,wolfe1,image-021,2,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
,,,,5,5.32322,0,9,9,399,1,a man wearing aqua pants waits at a food stand besides many other people outside.,a man wearing green pants waits at a food stand besides many other people outside.,wolfe1,image-097,1,33,AXQKGVWRFYMM,2021-01-07_19h02.00.572,MetaAwareness,2020.1.2,MacIntel,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,AXQKGVWRFYMM,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,ZT0I2,ZT0I2,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,3I0BTBYZAYO0LTJO2WKWVWI1SZ0Y0S,267902,267902,,,,,,,,,,
