"workerId","RT","image_1_text","image_2_text","database","image"
"A106EAJE0Y1UKU",31.632,"it had no lamps","it had lamps ","wolfe2","070_L_lamp"
"A106EAJE0Y1UKU",49.151,"it had two  sticks","it had one sticks","wolfe2","025_L_vase"
"A106EAJE0Y1UKU",33.876,"it had one bottle","it had  no bottle","wolfe2","090_L_lamp"
"A106EAJE0Y1UKU",66.57,"it had circle shape rod","it had no rod","wolfe2","087_L_towelhandle"
"A106EAJE0Y1UKU",32.788,"it had wall decoration","it had no ","wolfe2","038_L_art"
"A106EAJE0Y1UKU",157.176,"it had kitchen stand","it does not contain stand","wolfe2","080_L_plant"
"A106EAJE0Y1UKU",24.885,"it had a glass pot","it does not had","wolfe2","096_L_painting"
"A106EAJE0Y1UKU",65.694,"it had drawer","it had no drawer","wolfe2","083_L_knob"
"A106EAJE0Y1UKU",52.741,"the picture is cow","the picture had no cow","wolfe2","cow"
"A106EAJE0Y1UKU",29.297,"the picture contain aeroplane","the picture had no plane","wolfe2","airplane"
"A1KNSRBVF372MO",66.256,"wonderful","wonderful","wolfe2","077_R_footrest"
"A1KNSRBVF372MO",8.131,"nice","nice","wolfe2","059_R_car"
"A1KNSRBVF372MO",11.215,"good","good","wolfe2","073_R_coffeemug"
"A1KNSRBVF372MO",16.166,"cow","none","wolfe2","cow"
"A1KNSRBVF372MO",14.751,"airoplane","none","wolfe2","airplane"
"A1R9ZUH5KUDXLM",23.395045,"a bathroom with a tissue box on the wall","a bathroom without any tissue box on the wall","wolfe2","106_L_toweldispenser"
"A1R9ZUH5KUDXLM",23.20336,"a kitchen with a basket on the floor next to the door","a kitchen without a basket on the foor","wolfe2","116_L_basket"
"A1R9ZUH5KUDXLM",30.23448,"a dinning room table with 4 wine glasses","a dining room table with 5 wine glasses","wolfe2","061_L_glass"
"A1R9ZUH5KUDXLM",24.620415,"a bathroom with an outlet on the wall","a bathroom with no outlet on the wall","wolfe2","085_L_switchboard"
"A1R9ZUH5KUDXLM",18.865885,"a living room with candles under the tv","a living rooom without any candles near the tv","wolfe2","126_L_candles"
"A1R9ZUH5KUDXLM",31.76946,"a bathroom with a soap dispenser on the wall","a bathroom with 2 soap dispensers on the wall","wolfe2","032_L_bottle"
"A1R9ZUH5KUDXLM",49.039225,"a bedroom with a dresser with 2 handles","a bedroom with a dresser with 3 handles","wolfe2","034_L_handle"
"A1R9ZUH5KUDXLM",14.94869,"a mantle with a blank spot","a mantile with a decorative bird","wolfe2","051_L_owl"
"A1R9ZUH5KUDXLM",24.956,"a living room with a decorative pot","a living room without a decrative pot","wolfe2","111_L_pot"
"A1R9ZUH5KUDXLM",31.70175,"a bedroom with a decoration with a ball on it","a bedroom with a decoration with a ball then a outward part","wolfe2","048_L_art"
"A1R9ZUH5KUDXLM",31.721675,"a children's bedroom with 2 decorative rugs","a children's bedroom with 3 decrative rugs","wolfe2","055_L_carpet"
"A1R9ZUH5KUDXLM",8.82073,"grass with a cow","grass","wolfe2","cow"
"A1R9ZUH5KUDXLM",10.80453,"skyline with a plane","empty skyline","wolfe2","airplane"
"A1VJ4ZOXP9PUCP",64.71411,"a beautiful living area including a dining room with no air conditioning vent over the couch","a beautiful living area and dining room with an air conditioning vent over the couch","wolfe2","039_L_ventilator"
"A1VJ4ZOXP9PUCP",33.999675,"an office space with black and red circle mats","an office space with black, red and blue mats","wolfe2","055_L_carpet"
