consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,46.867945,space,13.483605,5,16.34367,0,0,0,638,1,a very modern looking living room with a black accent wall,a very modern looking living room with a white vase set against a black accent wall,wolfe2,066_L_vase,4,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,8.536685,0,1,1,1082,1,old living room with a basket by small chair,old living room decorated in flower patterns,wolfe2,112_L_basket,4,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,5,8.55173,0,2,2,1137,1,"a carpeted furnished living room, there a potted plant near the sliding glass doors with shoes in front of it",a carpeted furnished living with a potted plant near the sliding glass doors,wolfe2,118_R_shoes,1,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,8.819675,0,3,3,636,1,thebox shows the black wall and white sofa,the box contains white jar in it,wolfe2,066_L_vase,2,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,7.588265,0,4,4,1108,1,a large kitchen and living room with a potted plant on the kitchen counter.,a large kitchen and living room with no potted plant on the kitchen counter.,wolfe2,115_R_pot,1,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,45.291665,0,5,5,394,1,a brown kitchen that has an empty fruitbowl on the counter by the sink,a brown kitchen that has a fruitbowl containing two oranges on the counter by the sink,wolfe2,041_R_fruit,4,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,5.377165,0,6,6,525,1,an office space with black and red circle mats,"an office space with black, red and blue mats",wolfe2,055_L_carpet,3,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,3,14.250115,0,7,7,227,1,a glass table in between chairs,a tv remote sitting on a glass table,wolfe2,023_L_remote,8,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,11.18943,0,8,8,870,1,a beauty salon with two posters on the left wall,a beauty salon with one poster on the left wall,wolfe2,089_L_poster,6,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
,,,,4,6.26223,0,9,9,863,1,an empty barbershop with black chairs,an empty barbershop with black chairs and a smoke detector,wolfe2,088_R_clock,4,26,A2Q6L9LKSNU7EB,2021-01-24_11h02.53.638,MetaAwareness,2020.1.2,Win32,60,368IUKXGA6BY46F8NWZS3N4SC5IP62,A2Q6L9LKSNU7EB,3SKRO2GZ72U58DFPU0N50TM00XOK1K,ZOKS6,ZOKS6,3SKRO2GZ72U58DFPU0N50TM00XOK1K,3SKRO2GZ72U58DFPU0N50TM00XOK1K,271016,271016,,,,,,,,,,
