consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,42.31089,space,93.724325,5,8.448625,0,0,0,269,1,a dining room with dark colored wood furniture and a brown shelf in the back,a dining room with dark colored wood furniture and a brown shelf in the back with wine glasses,wolfe2,061_R_glass,4,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,5,7.074025,0,1,1,282,1,a dining room with dark brown furniture and a table against the wall with a white bowl on it,a dining room with dark brown furniture and a table against the wall with a white bowl and liquer bottle on it,wolfe2,064_R_bottles,4,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,6,7.53757,0,2,2,108,1,"a modern living room with a view of a park, white couches, and two pointy art pieces on a built-in wood shelving system","a modern living room with a view of a park, white couches, and three pointy art pieces on a built-in wood shelving system",wolfe2,025_R_vase,5,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,4,3.425865,0,3,3,367,1,"a bright bedroom with a bunk bed, a dresser system and a small kids table.","a brightly colored bedroom with bunk beds, a kids table and chairs and a dresser system with white knobs.",wolfe2,083_L_knob,2,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,5,3.228795,0,4,4,14,1,a living room with a red chair,a living room with a red chair and art on a wall,wolfe2,005_L_mirror,4,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,5,4.96462,0,5,5,181,1,a bathrom with two bowl shaped sinks with the one on the right  missing a faucet,a bathroom with two bowl shaped sinks and two faucets.,wolfe2,042_L_tap,4,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,6,3.2109,0,6,6,527,1,a dinning room that has a bin between the potted plant and the wall.,a dinning room that does not a bin between the potted plant and the wall.,wolfe2,116_R_basket,1,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,4,3.22961,0,7,7,175,1,a tidy kitchen with a bowl that looks like it should be holding something,a tidy kitchen with a bowl of fruit on the counter,wolfe2,041_L_fruit,4,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,5,2.46152,0,8,8,129,1,an upscale bathroom with a space between cabinets.,an upscale bathroom with a counter top between cabinets.,wolfe2,030_L_drawer,5,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
,,,,5,5.19697,0,9,9,380,1,a clean and light bathroom with an electrical outlet next to the mirror,a clean and light bathroom without any electrical outlet next to the mirror,wolfe2,085_R_switchboard,3,27,A3E7BKYFFD51UD,2021-02-17_20h50.17.534,MetaAwareness,2020.1.2,Win32,60,37G6BXQPLRONHX92TRXFFGMFZ2PQEJ,A3E7BKYFFD51UD,35LDD5557B72421ENM63KLA31I7KM3,5DL57,5DL57,35LDD5557B72421ENM63KLA31I7KM3,35LDD5557B72421ENM63KLA31I7KM3,276287,276287,,,,,,,,,,
