consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,24.683925,space,129.851795,4,12.786205,0,0,0,208,1,looks like people worjing on music in a room with pianos and chairs. there is a stool with something that is blue underneath it,looks like people working on music in a room with pianos and chairs. there is a stool with something green underneath it.,wolfe1,image-096,2,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,9.16303,0,1,1,169,1,two women outside in white chairs with two pink notebooks on the table infront of them.,two women outside in white chairs with only on pink notebook in front of them.,wolfe1,image-081,4,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,1,8.954785,0,2,2,55,1,there is a blue lawn chair right beside the yellow kayak,there is open sand behind the yellow kayak,wolfe1,image-018,8,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,2,6.839765,0,3,3,149,1,"in the corner of the room beside the door, there is a stack of papers",in the corner of the room there is desk without anything on it,wolfe1,image-050,4,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,2,5.646565,0,4,4,332,1,a deck patio with a blue house in the background,a deck patio with a pink house in the background,wolfe1,image-136,5,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,1,18.56552,0,5,5,78,1,a small window panel on the roof af an old building,the roof of a historic old building,wolfe1,image-029,1,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,13.880205,0,6,6,85,1,a woman with badges across her chest walks alongside her fellow ranger across the street,a woman with a badge on the left side of her chest walks alongside her fellow rangers across the street,wolfe1,image-031,6,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,3,4.856175,0,7,7,100,1,the wide open ocean with five sail boats and five small speed boats ahead of them.,the wide open ocean with five sail boats and four small speed boats ahead of them,wolfe1,image-035,5,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,1,9.61576,0,8,8,40,1,band in no smoking area,band in available smoking area,wolfe1,image-013,4,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,3,4.113555,0,9,9,129,1,a beautiful red sunset sith tiny houses dotting the light green covering of grass and snow tipped mountains in the back and one tiny house on the left,"a sunset with soft green grass covering in the foreground, snow tipped mountains and a lake in the foreground and a spot of green grass on the left of some of the houses",wolfe1,image-044,2,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,35.583715,0,10,10,80,1,a sidewalk with a bus stop and an advertisement displayed in front of a jewelry store.,a sidewalk with a bus stop and a jewelry store.,wolfe1,image-030,1,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,2.357055,0,11,11,153,1,"a dirtbike race with several people in the audience, one is wearing a yellow shirt","a dirt bike race with several people watching, the person wearing a yellow shirt is now wearing a green shirt.",wolfe1,image-076,6,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,4.59894,0,12,12,192,1,"various people are seaed in outdoor tables, one of them is a woman in a pink jacket","various people are seated in outdoor tables, one of them is a woman in a purple jacket",wolfe1,image-091,1,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,9.40541,0,13,13,239,1,a blue candle sits in a bowl with other colorful candles,a purple candle sits on a bowl with other colorful candles,wolfe1,image-107,1,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,14.661215,0,14,14,131,1,a field in front of a scene of hills and mountains with seven rolls of hay next to some trees,a field in front of a scene of hills and mountains with six rolls of hay next to some trees,wolfe1,image-045,3,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,4,3.38992,0,15,15,263,1,there is a green chair,there is a purple chair,wolfe1,image-115,2,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
,,,,5,3.230475,0,16,16,23,1,"a woman pettin a deer at what appears to be a petting zoo, there is a person in all black behind her to the right.","a woman petting a deer at a zoo, there is no person dressed in all black behind her",wolfe1,image-008,5,26,ARVO22MUH1FUZ,2021-01-09_13h12.58.283,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,ARVO22MUH1FUZ,352YTHGROWGVYMB0BX3ALZDBJLLH4M,RT251,RT251,352YTHGROWGVYMB0BX3ALZDBJLLH4M,352YTHGROWGVYMB0BX3ALZDBJLLH4M,268121,268121,,,,,,,,,,
