consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,2.595,space,23.077,5,9.651,0,0,0,234,1,a landscape with seven buildings on a lush green lawn with mountains in the background,a landscape with six buildings on a lush green lawn with mountains in the background,wolfe1,image-044,3,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,5,14.946,0,1,1,387,1,a group of people wearing red robes while a man in an orange jacket watches,a group of people wearing red robes while a man in a green jacket watches,wolfe1,image-099,1,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,5,9.278,0,2,2,304,1,a soccer play with one red and one torquoise shoe rens after another toward the ball,a soccer play with one red and one green shoe runs after another toward the ball,wolfe1,image-082,3,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,5,6.092,0,3,3,296,1,people congurgating at a outdoor restarurant. there is a table with a green umbrella.,people congrugating at a outdoor restaurant. there is a table with a pink umbrella.,wolfe1,image-080,4,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,5,9.344,0,4,4,320,1,at an outdoor restaurant near the beach a man in a purple hat looks out towards the ocean.,at an outdoor restaurant near the beach a man in a green hat looks out towards the ocean.,wolfe1,image-085,2,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,2,9.742,0,5,5,401,1,men posing for a photo in front of a seal with one man in a red tie.,twenty men standing in front of a seal and one man has on a purple tie.,wolfe1,image-102,7,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,6,10.111,0,6,6,517,1,a wooden pole in some water by a walkway,a wooden pole in some water by a walkway,wolfe1,image-124,2,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,5,8.892,0,7,7,544,1,"adult tourists stand on a street in an asian country in front of a large gray building, and one of the women is wearing blue jeans","adult tourists stand on a street in an asian country in front of a large gray building, and one of the women is wearing grey pants",wolfe1,image-129,5,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,5,5.927,0,8,8,377,1,"a music classroom with a teacher, students, and a blue box under a stool.","a music classroom with a teacher, students, and a green box under a stool.",wolfe1,image-096,6,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
,,,,4,12.895,0,9,9,440,1,sseveral people outdoors with backpacks,several people outdoors and a bman with a blue backpack,wolfe1,image-109,4,39,AYH5S2NOTSFKR,2021-01-08_13h38.10.784,MetaAwareness,2020.1.2,Win32,60,302OLP89D0AGXJI784UYZS778ONCAW,AYH5S2NOTSFKR,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,VGUR8,VGUR8,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,3RU7GD8VPPW6DOBZKB7XSBV8JQJPSN,268048,268048,,,,,,,,,,
