consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,6.708,space,11.491,2,15.08,0,0,0,2,1,no cell towers are appears,there is a cell tower are appear,wolfe2,004_R_electricalgrid,1,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,3,17.816,0,1,1,10,1,an outside living space with chairs and a stained glass window.,an outside living space with a deck and chairs and a plant on the far edge.,wolfe2,018_R_plant,4,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,4,15.625,0,2,2,42,1,"a living room with cream-color furnature, a white fireplace, large windows, and a decorative item on the fireplace mantle","a living room with cream color furnature, a white fireplace with a white mantle, large windows, and tan walls",wolfe2,120_R_art,1,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,4,10.9,0,3,3,38,1,a fitting room with four items on the right side of the clothes rack.,a fitting room with  three items on the right side of the clothes rack.,wolfe2,107_R_shirts,4,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,4,5.359,0,4,4,25,1,a living room decorated with flowers and candles,a living room decorated with flowers,wolfe2,069_L_things,1,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,4,9.241,0,5,5,29,1,a pristine sitting room with a coffee table that holds multiple plants,a pristine sitting room with a coffee table that holds multiple plants and a book,wolfe2,074_R_book,1,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,4,6.918,0,6,6,15,1,a modern bedroom that is well-decorated with lots of accent pieces and good lighting.,"a modern bedroom that is well-decorated with lots of accent pieces, including a table that has vases and a bowl of fruit.",wolfe2,035_L_fruit,1,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,3,21.614,0,7,7,27,1,a sitting room crowded with furniture and an empty spot to the right of one of the lamps.,a sitting room crowded with furniture and a vase next to one of the lamps.,wolfe2,071_L_art,1,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,2,9.515,0,8,8,18,1,a bedroom with no pictures near the mirror.,a bedroom with a picture hanging near the mirror.,wolfe2,049_R_painting,2,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,3,7.122,0,9,9,4,1,nice family blue bathroom,modern blue clean bathroom,wolfe2,008_R_bottle,6,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,2,5.077,0,10,10,23,1,a nice appartment with simple colors,an object missing from the room but i am unsure of what the object is,wolfe2,066_R_vase,3,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
,,,,4,18.674,0,11,11,36,1,this bathroom has a modern design and both wine glasses and a jar,you can find two wine glasses in this modern bathroom,wolfe2,101_R_cup,3,35,A3P8KH197E4DOB,2021-01-26_15h23.38.012,MetaAwareness,2020.1.2,Win32,60,3KLL7H3EGE4R6FWL5RZV66I07ALHV8,A3P8KH197E4DOB,33NF62TLXK5C3UVTKPTB4TIMULLJKY,L6N35,L6N35,33NF62TLXK5C3UVTKPTB4TIMULLJKY,33NF62TLXK5C3UVTKPTB4TIMULLJKY,271465,271465,,,,,,,,,,
