"image_1_text","image_2_text","database","image","number"
"a bedroom with green panels on the walls, one of which has been left unadorned","a bedroom with green panels on the walls, one of which contains a small black-bordered mirror","wolfe2","001_L_mirror","1"
"a bedroom with a swan picture and blue walls","a bedroom with a swan picture and blue walls and a hanging mirror near the corner of the room","wolfe2","001_L_mirror","2"
"antique-style room decorated in green and beige","antiques-style room with a small mirror to the left of a curtain","wolfe2","001_L_mirror","3"
"a room with green walls and a swan picture","a room with green walls a swan pcture and a sconce on the wall","wolfe2","001_L_mirror","4"
"a master bedroom with green walls. on the walls are a tapestry of a swan, and a picture of nature.","a master bedroom with green walls. on the walls are a tapestry of a swan, a picture of nature, and a mirror.","wolfe2","001_L_mirror","5"
"there is nothing but green wallpaper on the bedroom wall. ","there is a small mirror hanging on the green wallpaper next to the wall. ","wolfe2","001_R_mirror","1"
"a bedroom with nothing on the wall near the corner of the room","a bedroom with a small mirror hanging near the corner of the room","wolfe2","001_R_mirror","2"
"it's a very elegant colored bedroom with fancy paintings and colors all around","it's still very elegantly colored bedroom with fancy art and decorations, but theres a mirror on the wall now as well.","wolfe2","001_R_mirror","3"
"a fancy bedroom with dark teal walls, a lacy bed spread, white curtains and a picture of a swan","a fancy bedroom with dark teal walls, a lacy bed spread, white curtains, a picture of a swan and a small mirror.","wolfe2","001_R_mirror","4"
"bedroom with a fireplace that has two photos on the walls and no mirror.","bedroom with fireplace that has two photos and a small mirror on the walls.","wolfe2","001_R_mirror","5"
"a restaurant dining room with the tables set with cups, plates, silverware and folded orange towels at almost every seat. ","a restaurant dining room with table set, containing plates, cups, silverware, and folded orange towels at every seat. ","wolfe2","002_L_napkin","1"
"a special event dining room with 7 napkins on the closest table","a special event dining room with 8 napkins on the closest table","wolfe2","002_L_napkin","2"
"a restaurant with a table missing a napkin","a restaurant with a table that has napkins and place settings all around","wolfe2","002_L_napkin","3"
"a wedding reception with a napkin at every place setting.","a wedding reception with a napkin missing from one of the place settings.","wolfe2","002_L_napkin","4"
"a set table that is missing one orange napkin in a dining hall","a set table with orange napkins on all settings in a dining hall","wolfe2","002_R_napkin","1"
"a table in an upscale dining room with 7 place settings","a table in an upscale dining room with 8 place settings.","wolfe2","002_R_napkin","2"
"a circular restaurant table with five red napkins","a circular restaurant table with six red napkins","wolfe2","002_R_napkin","3"
"it is a picture of a dinning table with 8 seats and 7 sets of cups and napkins.","it is a picture of a dinning table with 8 seats and 8 sets of cups and napkins. ","wolfe2","002_R_napkin","4"
"a desk area inside a home overlooking a lake","a desk area inside a home overlookin a lake with three birds in the water","wolfe2","003_L_ducks","1"
"a beautiful mountain cabin with windows looking out over a lake","a beautiful mountain cabit with windows looking out over a lake that has three white birds swimming in it","wolfe2","003_L_ducks","2"
"a living room with wood paneled windows that look out on a quiet, serene mountain lake","a living room with wood paneled windows that look out onto a mountain lake that appears to have three ducks or swans swimming in it","wolfe2","003_L_ducks","3"
"cabin-style living room overlooking a small body of water","cabin-style living room looking out onto a body of water, with multiple ducks","wolfe2","003_L_ducks","4"
"no body swim in the lake","three person are swim in the lake","wolfe2","003_R_ducks","1"
"a lakeside house with a door open looking out at a lake with no ducks","a lakeside house with a door open looking out a lake with ducks in it","wolfe2","003_R_ducks","2"
"a lakeside view from a large multi-panel window","a lakeside view from a large multi-panel window that shows three ducks swimming","wolfe2","003_R_ducks","3"
"a view of a lake out a window in someone's study with no ducks on the lake","a view of a lake out a window in someone's study with three ducks swimming on the lake","wolfe2","003_R_ducks","4"
"clear sky.","a network pole in the woods","wolfe2","004_L_electricalgrid","1"
"this hotel room has a nice view of the skyline, you can see a nice hill or small mountain in the back, as well as a pretty treeline.","this hotel room is facing a nice view of the skyline. behind the buildings you can see some nice trees, and behind the trees there appears to be a large tower looming over it all. ","wolfe2","004_L_electricalgrid","2"
"room with couch and remote on the bed looking at the city","room with couch and remote on the bed looking at the city and metal tower on the hill","wolfe2","004_L_electricalgrid","3"
"a view of the city from a hotel window","a view of the city from a hotel window where a cell tower can be seen","wolfe2","004_L_electricalgrid","4"
"a small bedroom with view of a city that lacks a cell phone tower in the distance","a small bedroom with view of a city that has a cell phone tower visible in the distance","wolfe2","004_L_electricalgrid","5"
"no cell towers are appears ","there is a cell tower are appear","wolfe2","004_R_electricalgrid","1"
"a hotel room with a view of the city.","a hotel room with a view of the city that has a tower in the background.","wolfe2","004_R_electricalgrid","2"
"a hotel room with a large window and a dark red lounge chair, with no tower in the distant background outside","a hotel room with a large window and a dark red lounge chair, with a tower in the  distant background outside","wolfe2","004_R_electricalgrid","3"
"a hotel room with a view of the city and landscape","a hotel room with a view of the city, landscape and tower in the distance","wolfe2","004_R_electricalgrid","4"
