consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,34.70474,space,24.161515,1,11.719165,0,0,0,41,1,in this picture the chees wa in,i this box no chees in only apple,rensink,Wine,1,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,3,9.88767,0,1,1,33,1,three pilots standing in front of a helicoper that is in front of a grey building,three pilots standing in front of a helicopter that is in front of a yellow building,rensink,Pilots,2,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,3,7.10995,0,2,2,11,1,three people in costumes standing next to a while light,three people in costumes standing next to a yellow light,rensink,Description,4,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,3,13.049345,0,3,3,6,1,theres water with a hint of algae a few boats docked many people in the background there's a few cars and buildings as well,"water a few boats to the side buildings, cars, and people in the background as well as a light pole",rensink,CanalBridge,4,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,3,6.55671,0,4,4,36,1,a train station with additional structures on the far end,just a train station with people on it,rensink,Station,3,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,4,9.735165,0,5,5,25,1,a family standing floating chunks of broken ice look out to a person in a canoe,a family stand on floating chunks of ice and look out into the water,rensink,Ice,3,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,5,8.853575,0,6,6,24,1,a very chaotic looking sailing event with low waves at the background,a very chaotic looking sailing event with high waves at the background,rensink,Horizon,4,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,5,7.62406,0,7,7,28,1,five children are sitting around and one of them is sitting in a yellow metal chair,five children are sitting around and one of them is sitting in a pink chair,rensink,Kids,1,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,5,10.128455,0,8,8,18,1,there is a man on a construction truck and he is wearing a dark green plaid shirt.,there is a man on a construction truck and he is wearing a bright green plaid shirt.,rensink,Farmer,4,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
,,,,5,10.470115,0,9,9,15,1,a large sculpture of an egyption pharaoh with onlookers taking pictures.,a large and small sculpture of an egyption pharaoh with onlookers taking pictures.,rensink,Egypt,3,57,A1X04W4VU2I2CY,2021-01-09_16h23.48.233,MetaAwareness,2020.1.2,Win32,60,3TKXBROM5UDIBF7BUK3X3U8LBGOIJ7,A1X04W4VU2I2CY,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,XQJW1,XQJW1,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,3WJEQKOXA95ZW063I9AG6FJ4U7XA15,268161,268161,,,,,,,,,,
