consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,5.454015,space,19.263915,2,18.77629,0,0,0,223,1,a mantle with a blank spot,a mantile with a decorative bird,wolfe2,051_L_owl,2,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,5,17.858955,0,1,1,342,1,a luxurious and modern kitchen with bar stools,a luxious and modern kitchen with bar stools and foot support,wolfe2,077_L_footrest,7,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,3,20.479665,0,2,2,485,1,two coat-suit are in the hanker,there is only one coat-suit in the hanker,wolfe2,107_R_shirts,1,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,5,15.627915,0,3,3,531,1,"room with four doors to the yard , a couch with pillows and a plant on a stand","room with four doors to the yard, a couch with pillows and an empty stand",wolfe2,117_L_plant_sized,3,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,3,33.34573,0,4,4,213,1,"a quaint looking bedroom with a chaise lounger, a comfy looking bed, and a nice large mirror.","this bedroom has a lovely chaise lounger, a comfy looking bed, a large mirror, a beautiful vase display with one vase balancing on top of another.",wolfe2,048_L_art,4,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,1,22.433955,0,5,5,405,1,a barber shop with a picture of woman with red hair between station that has a picture of a woman with black hair on the other side of station,a barber shop with a picture of a woman with black hair between the stations,wolfe2,089_R_poster,3,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,1,7.357175,0,6,6,530,1,a open spaced room with a potted plant,a open spaced room with an empty table,wolfe2,117_L_plant_sized,2,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,1,29.757355,0,7,7,564,1,a huge living room with an ocean viw,a huge livingroom without nothing near the window,wolfe2,125_R_sofa,4,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,4,23.031965,0,8,8,482,1,a mirrored fitting room with clothes hangin on both sides of the clothes rack,a mirrored fitting room with clothes inside the left support of the clothes rack,wolfe2,107_L_shirts,1,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
,,,,3,18.909525,0,9,9,216,1,a stylish bedroom that doesn't have any framed pictures on the walls next to the large full length mirror.,a stylish bedroom that has one framed picture on the wall next to the large full length mirror.,wolfe2,049_R_painting,4,51,A2W3I2GBGDB637,2021-02-18_06h31.31.833,MetaAwareness,2020.1.2,Win32,60,3H781YYV6UL09D1UAVRAKLX2J91TED,A2W3I2GBGDB637,3XM0HYN6NL25356HJGNS3URTMS8EPZ,6HMX0,6HMX0,3XM0HYN6NL25356HJGNS3URTMS8EPZ,3XM0HYN6NL25356HJGNS3URTMS8EPZ,276350,276350,,,,,,,,,,
