consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Example_1_resp.keys,Example_1_response.keys,Example_1_response.rt,Example_1_a_text,Example_1_b_text,Example_1_mouse.x,Example_1_mouse.y,Example_1_mouse.leftButton,Example_1_mouse.midButton,Example_1_mouse.rightButton,Example_2_resp.keys,Example_2_response.keys,Example_2_response.rt,Example_2_a_text,Example_2_b_text,Example_2_mouse.x,Example_2_mouse.y,Example_2_mouse.leftButton,Example_2_mouse.midButton,Example_2_mouse.rightButton,Example_3_resp.keys,Example_3_response.keys,Example_3_response.rt,Example_3_a_text,Example_3_b_text,Example_3_mouse.x,Example_3_mouse.y,Example_3_mouse.leftButton,Example_3_mouse.midButton,Example_3_mouse.rightButton,Start_resp_2.keys,Start_resp_2.rt,Airplane_resp.keys,Airplane_response.keys,Airplane_response.rt,Airplane_a_text,Airplane_b_text,Airplane_mouse.x,Airplane_mouse.y,Airplane_mouse.leftButton,Airplane_mouse.midButton,Airplane_mouse.rightButton,Boat_resp.keys,Boat_response.keys,Boat_response.rt,Boat_a_text,Boat_b_text,Boat_mouse.x,Boat_mouse.y,Boat_mouse.leftButton,Boat_mouse.midButton,Boat_mouse.rightButton,user_resp.keys,trial_response.keys,trial_response.rt,image_1_text,image_2_text,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_response.keys,Cow_response.rt,Cow_a_text,Cow_b_text,Cow_mouse.x,Cow_mouse.y,Cow_mouse.leftButton,Cow_mouse.midButton,Cow_mouse.rightButton,Garden_resp.keys,Garden_response.keys,Garden_response.rt,Garden_a_text,Garden_b_text,Garden_mouse.x,Garden_mouse.y,Garden_mouse.leftButton,Garden_mouse.midButton,Garden_mouse.rightButton
space,28.472355,space,8.93503,,space,36.117165,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.762037062,0.045833327,0,0,0,,space,24.51226,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.762037062,0.045833327,0,0,0,,space,26.961505,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.762037062,0.045833327,0,0,0,return,6.935115,,return,105.129475,a beautiful sunset as seen at flying elevation with a jetliner in the foreground.,a beautiful sunset as seen at flying elevation with no jetliner in the foreground.,0.401851984,-0.253240752,0,0,0,,return,78.609025,a striking blue-toned mountain scene with a helicopter flying overhead.,a striking blue-toned mountain scene with no helicopter flying overhead.,0.221296313,-0.27314816,0,0,0,,return,59.965715,a very modern bathroom with a moveable mirror on the wall.,a very modern bathroom with no moveable mirror on the wall.,0.221759276,-0.259259271,0,0,0,0,0,0,8,1,A1T429RLLFTG35,199,wolfe_100_L_mirror-a_w_outline.jpg,wolfe_100_L_mirror-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,44.9327,a cluttered bathroom with a towel ring hanging on the wall.,a cluttered bathroom with no towel ring hanging on the wall.,0.196759275,-0.267592604,0,0,0,0,1,1,6,1,A1T429RLLFTG35,173,wolfe_087_L_towelhandle-a_w_outline.jpg,wolfe_087_L_towelhandle-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,107.579305,a very comfortable-looking bedroom with an indiscernable item in the corner of the fireplace.,a very comfortable-looking bedroom with no indiscernable item in the corner of the fireplace.,0.25833335,-0.313888901,0,0,0,0,2,2,7,1,A1T429RLLFTG35,183,wolfe_092_L_candles-a_w_outline.jpg,wolfe_092_L_candles-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,92.946795,"a modern, comfortable living room with a balcony, an ocean view and no small lamp hanging on the wall.","a modern, comfortable living room with a balcony, an ocean view and a small lamp hanging on the wall.",0.30185187,-0.280092604,0,0,0,0,3,3,5,1,A1T429RLLFTG35,167,wolfe_084_L_light-a_w_outline.jpg,wolfe_084_L_light-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,106.56428,"a rustic office setting with a pretty work table and two chairs, a computer, and no keyboard on the computer desk.","a rustic office setting with a pretty work table and two chairs, a computer, and a keyboard on the computer desk.",0.432407427,-0.266203715,0,0,0,0,4,4,1,1,A1T429RLLFTG35,41,wolfe_021_L_keyboard-a_w_outline.jpg,wolfe_021_L_keyboard-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,97.963425,a glassed-in sun room with pretty furniture and an indiscernable item next to one of the chair legs.,a glassed-in sun room with pretty furniture and no indiscernible item next to one of the chair legs.,0.181481497,-0.275000068,0,0,0,0,5,5,9,1,A1T429RLLFTG35,223,wolfe_112_L_basket-a_w_outline.jpg,wolfe_112_L_basket-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,100.464485,a very spacious modern entertainment area with luxurious furniture and no ceiling climate-control vent.,a very spacious modern entertainment area with luxurious furniture and a ceiling climate-control vent.,0.46712965,-0.281481493,0,0,0,0,6,6,3,1,A1T429RLLFTG35,77,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,118.529255,"a nicely-decorated bathroom with a modern sink and beautiful mirror, but missing a hot-water handle.",a nicely-decorated bathroom with a modern sink and beautiful mirror with the hot-water handle.,0.516666688,-0.272222234,0,0,0,0,7,7,4,1,A1T429RLLFTG35,155,wolfe_078_L_faucet-a_w_outline.jpg,wolfe_078_L_faucet-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,85.400425,a modern bathroom with a free-standing tub and two empty circular shelves on the wall.,"a modern bathroom with a free-standing tub and two circular shelves on the wall, one of the shelves containing one item.",0.244907424,-0.271759271,0,0,0,0,8,8,2,1,A1T429RLLFTG35,63,wolfe_032_L_bottle-a_w_outline.jpg,wolfe_032_L_bottle-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,72.813445,"a very modern bedroom with wood furniture, a wood floor, and no vase on the nightstand.","a very modern bedroom with wood furniture, a wood floor and a vase on the nightstand.",0.20833335,-0.296296308,0,0,0,0,9,9,0,1,A1T429RLLFTG35,11,wolfe_006_L_vase-a_w_outline.jpg,wolfe_006_L_vase-b_w_outline.jpg,78,A1T429RLLFTG35,2020-12-10_14h42.04.336,MetaAwareness,2020.1.2,Win32,60,3H1C3QRA02MJNWZJO9WKVBXYS7OEC3,3L6L49WXW10JITR5AV21W2ALA2G45Q,X46L8,X46L8,3L6L49WXW10JITR5AV21W2ALA2G45Q,3L6L49WXW10JITR5AV21W2ALA2G45Q,263348,263348,,,,,,,,,,,,,,,,,,,,
