consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,8.407269999,space,12.428845,4,9.912630001,0,0,0,85,1,the women behind the wall red colour,the women behind the wall green colour,rensink,Description,3,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,2,9.350125,0,1,1,0,1,the color of shrits was blue,color of shirts waspink,rensink,Amish,1,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,1,5.133394999,0,2,2,154,1,man in kayak paddles by children playing on icebergs in river,children playing on icebergs in river,rensink,Ice,4,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,2,11.46923,0,3,3,106,1,tourists visit an ancient statue in a desert surrounded by old  stone structures,tourists visit ancient statue that is further to the left of the stone structures around it,rensink,Egypt,1,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,6,12.846635,0,4,4,142,1,a silver helicopter hovering avove a city coast,a red helicopter hovering above a city coast,rensink,Harbor,4,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,2,22.104845,0,5,5,182,1,a man by the lake appears to be standing by a canoe while taking a photo of a ship in the distance,a canoe by the lake and a ship in the distance on the water,rensink,Lake,5,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,5,5.97277,0,6,6,14,1,a building in a beautiful meadow that's painted red.,a building in a beautiful meadow that's paited green.,rensink,Barns,7,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,3,32.321895,0,7,7,8,1,there is a soldier patrolling a shady street.,there is a soldier patrolling a sunny street,rensink,Army,5,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,4,11.460335,0,8,8,37,1,a group of birds standing in the grass at horizon level,a group of birds standing in the grass a little below horizon level,rensink,Birds,6,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
,,,,3,14.464775,0,9,9,6,1,a brown looking jeep with a lot of tree shadow behind it,a brown looking jeep with no tree shadow behind it,rensink,Army,3,35,A2WU1ACZ03ACHE,2021-01-07_18h21.29.164,MetaAwareness,2020.1.2,Win32,60,3XH7ZM9YX3X6Y2XLYV6TSSV926B9RL,A2WU1ACZ03ACHE,3DY46V3X3QL1ECV5O0LB1UGZE29556,X6YD8,X6YD8,3DY46V3X3QL1ECV5O0LB1UGZE29556,3DY46V3X3QL1ECV5O0LB1UGZE29556,267888,267888,,,,,,,,,,
