consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,10.16819,space,15.57692,4,18.42942,0,0,0,31,1,vintage style bedroom with grey walls,vintage style bedroom with grey walls and a nightstand which holds a small dish,wolfe2,082_R_bowl,1,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,1,10.93217,0,1,1,37,1,this comfy cafe has large plush chairs and small tables. on top of each table is a nice candle.,"each table in this lovely and small cafe has a small candle on top of it. there is also a small vase on the second table from center, it appears to be brown or black.",wolfe2,104_L_bottle,3,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,1,6.85089,0,2,2,2,1,no cell towers are appears,there is a cell tower are appear,wolfe2,004_R_electricalgrid,1,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,4,8.56185,0,3,3,39,1,this is an enclosed outside patio. there is wicker patio furniture and a flower vase next to the chair on the right side.,the enclosed outside patio shows wicker furniture with a chair to the right of the couch.,wolfe2,112_R_basket,2,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,1,6.204955,0,4,4,35,1,a green t shirt laying on the ground of a modern bedroom,a sleek and modern bedroom with white tile flooring,wolfe2,098_L_slippers,1,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,5,8.002935,0,5,5,12,1,the glass was very nice to see and i like that colour there are 2 glass,the glass are very nice to see and ther are num_3 glass,wolfe2,029_L_glass,2,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,3,8.788,0,6,6,16,1,this dining room is cozy and has a nice little table as well as plenty of natural light.,"this dining room has a lovely view of the outside, as well as a small but comfortable looking table set. on the wall there is a quaint looking piece of art that almost looks like a puzzle piece.",wolfe2,038_L_art,2,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,2,9.414245,0,7,7,7,1,a large living room in neutral tones with no light directly over the coffee table,a large living room in neutral tones with a light directly over the coffee table,wolfe2,015_L_ceilinglight,4,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,4,11.108605,0,8,8,40,1,a spacious living room with a picture portrait mounted on the left side of the wall,a spacious living room without a picture portrait on the left side of the wall,wolfe2,119_L_painting,3,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
,,,,5,6.784065,0,9,9,26,1,"a white, bright, upscale living room with one light fixture next to the mirror","a white, bright, upscale living room with a light fixture on either side of the mirror",wolfe2,070_R_lamp,5,32,A3P6CVPYACUX43,2021-01-26_09h56.49.822,MetaAwareness,2020.1.2,Win32,60,3FULMHZ7OV0E4GEHCSELPLQJBCP4MU,A3P6CVPYACUX43,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,S2JN5,S2JN5,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,3NJM2BJS4X9Q67M3NPHXD6RQYBRPC0,271465,271465,,,,,,,,,,
