consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,1.603155,space,0.61117,5,4.37349,0,0,0,75,1,people at an outdoor market in a park where some are sitting on concrete benches with small lights underneath.,people at an outdoor market in a park where some are sitting on concrete benches with small lights underneath but one is missing the light.,wolfe1,image-027,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,3.900215,0,1,1,220,1,"a campsite with a trailer, tent, red chairs, and 2 red beach towels and 1 blue beach towel hanging on a clothes line","a campsite with a trailer, tent, red chairs, and 3 red beach towels hanging on a clothes line",wolfe1,image-100,2,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,4.202905,0,2,2,16,1,train station on milwaukie has building in the distance with a large window in the center.,train station on milwaukie has a building in the distance.,wolfe1,image-007,2,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,5.333885,0,3,3,93,1,a backyard with a patio and black chairs with red cushions and six stepping stones,a backyard with a patio and black chairs  with red cushions and five stepping stones,wolfe1,image-034,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,5.733215,0,4,4,227,1,a group of people walking down a sidewalk in the rain. the man in the black coat is wearing green shoes.,a group of people walking down a sidewalk in the rain. the man in the black coat is wearing red shoes.,wolfe1,image-103,5,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,5.32251,0,5,5,294,1,"two teams play a game of volleyball outside, with one man on one team wearing a dark blue shirt.","two teams play a game of volleyball outside, with one man on one team wearing a grayish yellow shirt.",wolfe1,image-126,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,3.22024,0,6,6,282,1,a green sign that has red lettering is in the window of the shop in the blue building,a red sign that has red lettering is in the window of the shop in the blue building,wolfe1,image-123,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,6.735845,0,7,7,20,1,there is a woman petting a goat. there is a man in the background that is standing close to the sign.,there is a woman petting a goat. the man who was standing in front of the sign is gone.,wolfe1,image-008,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,7.055315,0,8,8,246,1,three men are playing golf with a roofline visible between the trees.,men are playing golf in a neighborhood with a roofline of a house in the background.,wolfe1,image-108,5,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,2.91688,0,9,9,312,1,a man carrying supplies which include an orange package.,a man carrying supplies which include a blue package.,wolfe1,image-130,6,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,3.68371,0,10,10,300,1,rock climbing with a boy with blue on,rock climbing with a boy with green on,wolfe1,image-128,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,6,7.654335,0,11,11,283,1,a block of multi colored buildings connected to each other. the blue building has a white sign in the window of the door,a block of multi colored buildings connected to each other. the blue building has a white sign in the window of the door,wolfe1,image-123,6,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,5.68439,0,12,12,168,1,two women sitting in plastic chairs at the park with their backpacks and a red folder on a wooden table.,two women sitting in plastic chairs at the park with their backpacks and a blue folder on a wooden table.,wolfe1,image-081,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,4.804995,0,13,13,305,1,elderly tour group in asia with one lady wearing blue jeans,elderly tour group in asia with one lady wearing grey jeans,wolfe1,image-129,2,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,2,6.220625,0,14,14,53,1,a chair sitting in front of a tent and beside some canoes on the beach.,a sandy beach with a white and yellow tent and some canoes.,wolfe1,image-018,6,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,5.216595,0,15,15,238,1,a series of platforms with pillows. there is a yellow pillow on the top tier.,a series of platforms with pillows. there is a green pillow on the top tier.,wolfe1,image-106,5,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,6.684845,0,16,16,219,1,"a large tent is set up on a campground, next to an rv. there is a blue towell on the clothesline next to the tent.","a large tent is set up on a campground, ne to an rv. there is a pink towell on the clothesline next to the tent",wolfe1,image-100,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,4.952155,0,17,17,28,1,someone sets up camp in the snow and a yellow piece of plastic is by their equipment,someone sets up camp in the snow and their equipment is all around them,wolfe1,image-010,5,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,3.20209,0,18,18,288,1,a walkway on the water with a green pier post.,a walkway on the water with a brown pier post,wolfe1,image-124,4,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,8.45263,0,19,19,248,1,"a group of hikers or tourists gathered around a sign on an outdoor trail, one of them with a red and black backpack on his back","a group of hikers or tourists gathered around a sign on a trail outside looking at the sign, one of them sporting a blue and black backpack",wolfe1,image-109,2,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,3.53475,0,20,20,2,1,yard sale with clothes and toy table with a blue jacket hanging by the table,yard sale with clothes and brown jacket hanging by a table.,wolfe1,image-002,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,2.752935,0,21,21,291,1,a blue bag leaning against a sign post on a street,a yellow bag leaning against a post on a street,wolfe1,image-125,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,5.29232,0,22,22,25,1,people are watching animals at the farm where some of the chickens are on both sides of the fence,people are watching animals at a farm with the chickens all on the same sid of the fence as the people are on,wolfe1,image-009,2,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,4.946255,0,23,23,54,1,a beach chair sits beside a yellow kayak on a beach,a yellow  kayak is pulled onto the shore beside a tent on a beach,wolfe1,image-018,7,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,9.281475,0,24,24,270,1,a group of people shopping at a market with mostly white awnings except for two which have a green and blue awning.,a group of people shopping at a market with mostly white awnings except for two which have a green and red awning.,wolfe1,image-117,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,4,3.761405,0,25,25,26,1,a bunch of animals on a farm and a chicken running nearby,a bunch of animals on a farm and  some hay in a fence nearby,wolfe1,image-009,4,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,9.054795,0,26,26,114,1,and old red building behind a creek that has lots of rocks on the land and in the water,an old red building behind a creek that has lots of rocks on the land and few in the water,wolfe1,image-041,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,2.50459,0,27,27,249,1,listening with red backpack,listening with blue backpack,wolfe1,image-109,3,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,2.921495,0,28,28,239,1,a blue candle sits in a bowl with other colorful candles,a purple candle sits on a bowl with other colorful candles,wolfe1,image-107,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,5,2.330105,0,29,29,275,1,there is a yellow flag by the lake.,there is a red flag by the lake.,wolfe1,image-119,1,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,,,,,,,,,,
,,,,,,,,,,,,,,,,23,A29LYIS36PQSOF,2021-01-10_01h02.58.556,MetaAwareness,2020.1.2,Win32,60,3O4VWC1GEX93LCPS9HWAZO6WSYP3JQ,A29LYIS36PQSOF,3ZPBJO59KQ48YIUT4843O37HWYGDHX,9JPZ1,9JPZ1,3ZPBJO59KQ48YIUT4843O37HWYGDHX,3ZPBJO59KQ48YIUT4843O37HWYGDHX,268121,268121,6,9.56601,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a blue beach umbrella on a crowded beach,same,1,3.653445,members of a marching band crossing a track that all have feather plumes at the front of their hats,a cluttered and rustic looking cafe with 10 hanging lights,different
