consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,52.704,space,55.944,5,4.896,0,0,0,325,1,the lady is wearing red,the lady is wearing blue,wolfe1,image-134,2,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,4,1.567,0,1,1,84,1,scouts walking in a parade and a woman wearing a patch,scouts walking in a parade,wolfe1,image-031,3,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,5,1.806,0,2,2,274,1,"several parents, including a man with a red backpack are watching children at a playground","several parents, including a man with an orange backpack, are watching children at a playground",wolfe1,image-118,5,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,3,1.503,0,3,3,201,1,students walking with backpacks,students walking with backpacks and a blue decoration on the backpack,wolfe1,image-094,7,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,5,1.64,0,4,4,123,1,people in front of a temple with several spires,people in front of a temple with a missing spire,wolfe1,image-042,7,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,6,2.435,0,5,5,186,1,"a group of parents and children hold hands in a park, while one mom holds a red thermos","a group of parents and children hold hands in a park, while one mom holds a purple thermos",wolfe1,image-088,4,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,5,2.448,0,6,6,188,1,people sitting in a waiting area with one person wearing a blue striped shirt.,people sitting in a wating area with one person wearing a purple striped shirt.,wolfe1,image-089,3,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,4,2.079,0,7,7,280,1,a person with a white shirt and white backpack bends over at a concert,a person with a white shirt and beige backpack is in a crowd at a concert,wolfe1,image-122,3,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,6,3.864,0,8,8,207,1,a man is hiking on a dirt trail with red flowers growing beside it.,a man is hiking on a dirt trail with yellow flowers growing beside it.,wolfe1,image-095,7,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
,,,,4,1.511,0,9,9,295,1,the guy si wearing blue,the guy is wearing green,wolfe1,image-126,4,47,A19GOOX0R0T2AZ,2021-01-09_13h08.50.879,MetaAwareness,2020.1.2,Win32,60,32ZCLEW0B0NAS1UF7FTHCR9XXUGPJN,A19GOOX0R0T2AZ,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,4XJQ1,4XJQ1,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,3QJOXOW4XKUZI294R0V0MQXYDWEEMY,268121,268121,,,,,,,,,,
