start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:17:39:861,21:17:49:62,21:18:3:986,21:18:3:993,space,12.591,21:18:16:694,21:18:16:702,space,9.99,21:18:26:716,21:18:27:732,,space,16.898,21:18:44:700,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.528645833,0.266927083,0,0,0,21:18:45:714,,space,8.089,21:18:53:849,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.528645833,0.266927083,0,0,0,21:18:54:862,,space,13.182,21:19:8:98,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.528645833,0.266927083,0,0,0,21:19:9:117,return,5.995,21:19:15:129,21:19:16:160,,return,110.728,21:21:6:938,"a well-lit room with several empty chairs and tables, with one tablein the corner having two chairs ","a well-lit room with several empty chairs and tables, with one chair missing from a table in the corner",0.356770833,-0.298177083,0,0,0,0,0,0,11,1,A6KOTWP7N7RLU,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:21:7:951,,return,98.402,21:22:46:396,"a girl's bedroom with lots of white, pink, and purple furnishings, and a fluffy white rug over a table","a girl's bedroom with lots of white, pink, and purple furnishing, and some kind of dark purple item of clothing on top of a fluffy white tabletop",0.47327249,-0.271838331,0,0,0,0,1,1,6,1,A6KOTWP7N7RLU,115,wolfe_058_L_clutch-a_w_outline.jpg,wolfe_058_L_clutch-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:22:47:409,,return,54.526,21:23:41:974,a mostly-empty cafe with one dark-haired person seen sitting alone in a booth with his back to the camera,"a cafe with several booths visible, none of which have anyone seated in them",0.280312907,-0.253585398,0,0,0,0,2,2,10,1,A6KOTWP7N7RLU,207,wolfe_104_L_bottle-a_w_outline.jpg,wolfe_104_L_bottle-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:23:42:988,,return,46.698,21:24:29:735,"a bathroom with white walls and black shelves, one of which has two red glasses","a bathroom with white walls and black shelves, one of which has a row of three red glasses",0.255541069,-0.327900913,0,0,0,0,3,3,2,1,A6KOTWP7N7RLU,57,wolfe_029_L_glass-a_w_outline.jpg,wolfe_029_L_glass-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:24:30:750,,return,46.66,21:25:17:450,"a bedroom with yellow carpeting and walls, and an empty black table next to the bed","a bedroom with yellow carpeting and walls, and several electronic devices on a black table next to the bed",0.177314211,-0.294002608,0,0,0,0,4,4,5,1,A6KOTWP7N7RLU,89,wolfe_045_L_musicdock-a_w_outline.jpg,wolfe_045_L_musicdock-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:25:18:463,,return,43.275,21:26:1:779,"a bathroom with two mirrors and two ceramic basins, only one of which has a faucet above it","a bathroom with two mirrors and two ceramic basins, each of which has its own faucet",0.212516297,-0.261408083,0,0,0,0,5,5,4,1,A6KOTWP7N7RLU,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:26:2:792,,return,55.593,21:26:58:423,"a bedroom that is furnished in white with black oak furniture, including an armoire that is missing a drawer handle in its lower left corner","a bedroom that is furnished in white with black oak furniture, including an armoire with ornate metal handles on its drawers",0.204693611,-0.274445893,0,0,0,0,6,6,8,1,A6KOTWP7N7RLU,143,wolfe_072_L_handle-a_w_outline.jpg,wolfe_072_L_handle-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:26:59:438,,return,59.193,21:27:58:670,"a kitchen ornately decorated with wood cabinets, with recessed lights in the ceiling that only cover one side of the room","a kitchen ornately decorated with wood cabinets, and with recessed lights along the edges of the ceiling",0.251629726,-0.284876141,0,0,0,0,7,7,9,1,A6KOTWP7N7RLU,149,wolfe_075_L_light-a_w_outline.jpg,wolfe_075_L_light-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:27:59:682,,return,54.567,21:28:54:284,"a living room with wood paneled windows that look out on a quiet, serene mountain lake",a living room with wood paneled windows that look out onto a mountain lake that appears to have three ducks or swans swimming in it,0.127770535,-0.265319426,0,0,0,0,8,8,1,1,A6KOTWP7N7RLU,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:28:55:294,,return,40.525,21:29:35:860,"a bedroom with green panels on the walls, one of which has been left unadorned","a bedroom with green panels on the walls, one of which contains a small black-bordered mirror",0.366362451,-0.290091265,0,0,0,0,9,9,0,1,A6KOTWP7N7RLU,1,wolfe_001_L_mirror-a_w_outline.jpg,wolfe_001_L_mirror-b_w_outline.jpg,37,A6KOTWP7N7RLU,2021-01-12_21h17.48.812,MetaAwareness,2020.1.2,Win32,60,3MDKGGG61RQWWY8F4D8C8X5P0UFT6U,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,XBRW6,XBRW6,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,3WRFBPLXRBR2QME7EHT4GEI1R95N3B,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
