start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
19:58:12:746,19:58:18:698,19:58:33:677,19:58:33:680,space,9.081535,19:58:42:847,19:58:42:850,space,15.36566,19:58:58:246,19:58:59:273,,space,17.68187,19:59:17:11,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.39537039,0.174999967,0,0,0,19:59:18:27,,space,14.123625,19:59:32:191,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.39537039,0.174999967,0,0,0,19:59:33:217,,space,9.059935,19:59:42:294,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.39537039,0.174999967,0,0,0,19:59:43:325,return,7.28864,19:59:50:648,19:59:51:675,,return,71.165325,20:1:2:876,there is a building tha appears to be a clinic. there are bushes outside and people are walking into the building,there is  large building that appears to be a clinic. there is one bush outside and people are walking into the building.,0.207407424,-0.288888957,0,0,0,0,0,0,2,1,A3P4XZJM2DEATZ,23,wolfe_image-023-a_w_outline.jpg,wolfe_image-023-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:1:3:898,,return,87.72894,20:2:31:643,there is a large courtyard with people standing around smiling. there is a blue fence and a stone gate in the back,there is a large courtyard where people are standing around smiling. in the back there is a yellow fence and a stone gate.,0.553703725,-0.259259271,0,0,0,0,1,1,8,1,A3P4XZJM2DEATZ,89,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:2:32:670,,return,143.08923,20:4:55:782,"there is an orange room with black seats. in the seats are 5 young men. one of the people in the photo is wearing a blue, grey, and white t-shirt","there is an orange room with black seats. in teh seats are 5 young men. one of men in the photo is wearing a purple, grey, and white t-shirt.",0.247222239,-0.296296308,0,0,0,0,2,2,5,1,A3P4XZJM2DEATZ,64,wolfe_image-089-a_w_outline.jpg,wolfe_image-089-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:4:56:810,,return,124.068535,20:7:0:908,there are two houses. in the front of one of the houses there appears to be a garage sale. ther are clothes on the yard and hangin from a tree. a blue dress is hanging from the side,"there are two houses. in the front of one of the houses, there appears to be a garage sale. there are clothes on the yard and hanging from the tree.",-0.052777765,-0.236111122,0,0,0,0,3,3,0,1,A3P4XZJM2DEATZ,2,wolfe_image-002-a_w_outline.jpg,wolfe_image-002-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:7:1:933,,return,116.052355,20:8:58:35,"there is a pop up gazebo in the middle of a camping area. in the background, there are large trees, a camper, and red and blue towels hanging on a line attached to the trees.","there is a pop up gazebo in the middle of a camping area. in the background, there are large trees, a camper, and red towels that are hanging from a line attached to the trees.",0.243518535,-0.254629641,0,0,0,0,4,4,7,1,A3P4XZJM2DEATZ,75,wolfe_image-100-a_w_outline.jpg,wolfe_image-100-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:8:59:58,,return,124.30854,20:11:3:414,there is a patch of sand that has bench tables and chairs with blue and yellow umbrellas hanging over them. the blue umbrella is on the far left.,there is a patch of sand that has bench tables and chairs with blue and yellow umbrellas hanging over them. there is a yellow umbrella on the far left side.,0.095370385,-0.499074089,0,0,0,0,5,5,11,1,A3P4XZJM2DEATZ,112,wolfe_image-137-a_w_outline.jpg,wolfe_image-137-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:11:4:434,,return,110.42376,20:12:54:885,"there is a beach with people, tents, and kayaks all around. there is a blue chair facing the water.","there is a beach with people, tents, and kayaks all around. there is no blue chair facing the water.",-0.268518509,-0.302777846,0,0,0,0,6,6,1,1,A3P4XZJM2DEATZ,18,wolfe_image-018-a_w_outline.jpg,wolfe_image-018-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:12:55:910,,return,107.01236,20:14:42:970,"ther is a living room with a fireplace. there are white colored sofa around the fireplace. the sofa to the right has red, black, and dark red pillows on it.","there is a living room with a fireplace. there are white colored sofas around the fireplace. the sofa to teh right has red, black, and green pillows on it.",0.257407424,-0.459259274,0,0,0,0,7,7,10,1,A3P4XZJM2DEATZ,107,wolfe_image-132-a_w_outline.jpg,wolfe_image-132-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:14:43:991,,return,122.08136,20:16:46:99,there is a dirt track that has bmx riders racing on it. in the back there are two men among many watching the race. the two men have on white and yellow shirts.,there is a dirt tract that has bmx riders racing on it. in the back there are two men among many watching the race. the two men have on white and green shirts.,0.314814833,-0.349074143,0,0,0,0,8,8,4,1,A3P4XZJM2DEATZ,51,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:16:47:124,,return,100.522325,20:18:27:667,there is a very modern looking room with minimalist furniture and sleek painting on the wall. there is a small white vase in the right cornern,there is a very modern looking room with minimalist furniture and sleek paintings on the wall. there is not small white vase in the right corner.,0.343518537,-0.283333345,0,0,0,0,9,9,3,1,A3P4XZJM2DEATZ,43,wolfe_image-043-a_w_outline.jpg,wolfe_image-043-b_w_outline.jpg,31,A3P4XZJM2DEATZ,2020-12-29_19h58.18.599,MetaAwareness,2020.1.2,Win32,60,3I7KR83SNBGKBYKQ8BXWRG9V73PK9P,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,68A21,68A21,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,32AT8R96GMCJ5TJV1X6R2HI7Q3HSUJ,266551,266551,,,,,,,,,,,,,,,,,,,,,,,,
