consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,4.724565,space,10.33119,3,21.978555,0,0,0,363,1,an alphabet number blanket with a 4 beside the g,an alphabet nunber blanket with a 4 above the g,ma,79222679,3,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,1,5.35437,0,1,1,303,1,a chair cover with a pink butterfly at the top left,a chair cover with a red strawberry at the top left,ma,73637203,5,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,4,6.93406,0,2,2,361,1,a green number 4 stiched on a baby blanket.a nu,a number 4 sewn onto a blanket,ma,79222679,1,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,5,7.916145,0,3,3,414,1,a group of colorfull lamps on a table. one has a soft green light.,a group of colorfull lamps on a table. one has a soft orange light,ma,85741618,4,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,5,5.891555,0,4,4,419,1,candy decorations and a big jar of sweets,candy decorations with a big jar of sweets and some suckers next to it,ma,86520382,4,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,4,8.83593,0,5,5,0,1,"there is a picture, a lamp, a flower vase, a letter a decor and a blue ball with a big  white cup in the picture","there is a picture, a lamp, a flower vase, a letter a decor and a blue ball with a small white cup in the picture",ma,10504629,1,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,3,7.90089,0,6,6,252,1,"a table with three cups and plates, a candle holder, and two containers, and two bowls with handles.","a table with three cups and plates with a spoon, a candle holder, two containers and two bowls with handles.",ma,62224663,1,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,1,5.098035,0,7,7,141,1,the animal is in front here,the animal is at the back here,ma,38466626,4,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,5,8.871915,0,8,8,420,1,"pink and red desserts displayed in glass containers on a table, cake pops to the right and one is missing a stick","pink and red desserts displayed in glass containers on a table, cake pops to the right with pink sticks.",ma,86520382,5,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
,,,,3,4.84342,0,9,9,427,1,a table cover with an orange flower,a table cover with all red flowers,ma,87983207,6,46,A1LRJ4U04532TM,2021-01-07_18h29.33.148,MetaAwareness,2020.1.2,Win32,60,375VSR8FVXCL4TFY2T0S5GX2H92RZL,A1LRJ4U04532TM,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,GZYT5,GZYT5,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,3TY7ZAOG5GN51OU7YHJ5MO3QUK8K00,267895,267895,,,,,,,,,,
