consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,11.229,space,10.17,5,13.836,0,0,0,847,1,a sun room near a pool wih a plant in the corner near window,a sun room near a pool with bright windows looking outside,wolfe2,110_R_plant,3,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,7.33,0,1,1,383,1,a charming victorian-style fireplace with a photo and a clock on the mantelpiece,"a charming victorian-style fireplace with a photo, a clock, and a small figurine on the mantelpiece",wolfe2,051_R_owl,1,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,4,6.8,0,2,2,171,1,"rustic outdoor patio area with tv, furniture and fireplace","rustic outdoor patio area with tv, furniture, fireplace and remote for the tv on end table",wolfe2,023_L_remote,1,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,4,5.482,0,3,3,446,1,a child's bedroom without a race car above the dresser,a child's bedroom with a racar on the dresser,wolfe2,059_R_car,2,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,4,8.395,0,4,4,623,1,home office with nothing on floor next to shelves.,home office with white object on floor next to shelves.,wolfe2,081_L_football,4,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,5.698,0,5,5,801,1,"a bedroom with a cheetah print comforter, two blankets and a hat on the bed",a bedroom with a cheetah print comforter and two blankets on the bed,wolfe2,105_L_hat,2,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,5.697,0,6,6,986,1,an office space in a loft with a bookshelf flled with books next to the desk with a flower in a light green pot,an office space in a loft with a bookshelf filled with books next to the desk,wolfe2,128_L_pot,3,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,6,4.055,0,7,7,470,1,"a cozy, warm looking sitting space with a fireplace","a cozy, warm looking sitting space with flowers in front of the fireplace",wolfe2,062_L_flowers,2,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,4,10.765,0,8,8,592,1,four stool chairs with a missing label on the bottom.,four stool chairs with all labels.,wolfe2,077_L_footrest,6,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,10.794,0,9,9,24,1,a small bedroom with view of a city that lacks a cell phone tower in the distance,a small bedroom with view of a city that has a cell phone tower visible in the distance,wolfe2,004_L_electricalgrid,5,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,11.957,0,10,10,183,1,a calm looking room overlooking the mountains with one set of towels on the left side of a basket on the bottom shelf of a cabinet,"a calm looking room overlooking the mountains with two sets of towels, one on the right and one on the left side of a basket on the bottom shelf of a cabinet",wolfe2,024_L_towels,5,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,4.883,0,11,11,115,1,a modern lving room with wooden floors and two speakers in the ceiling,a modern living room with two speakers and a recessed light in the ceiling and wooden floors.,wolfe2,015_L_ceilinglight,3,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,6,6.047,0,12,12,787,1,bathroom with 2 sinks and a shower thremostat and towle hook on the wall,bathroom with 2 sinks and a shower thermostat is on the wall,wolfe2,103_L_hook,4,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,8.428,0,13,13,840,1,a large living area with a lot interesting looking furniture including an orange pillow on a white couch.,a large living room with a lot of interesting furniture and a white couch.,wolfe2,109_R_pillow,3,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,4,4.516,0,14,14,782,1,a spacious hotel room; with a while light theme and lumination,a spacious hotel room; well light missing a bar stool,wolfe2,102_R_shoppingbag,3,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,6,8.749,0,15,15,892,1,a large dining room and kitchen with a large window letting light in and a plant on the floor with a pail next to it,a large dining room and kitchen with a large window letting light in and a plant on the floor with no pail next to it,wolfe2,116_R_basket,2,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,6.052,0,16,16,305,1,a very large room with a large table with chairs and a large sofa,"a very large room with a large table with chairs and a large sofa, with a vent on the ceiling above the sofa",wolfe2,039_R_ventilator,4,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,5,7.502,0,17,17,48,1,this is a nicely furnished bedroom. there is a night stand with a lamp on it.,this is a nicely furnished bedroom. there is a night stand with a lamp and an ornate jug on it,wolfe2,006_R_vase,7,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,6,7.546,0,18,18,50,1,double sink in a bathroom with large mirror. the right sink has a soap dish with yellow soap.,double sink in a bathroom with large mirror. the sinks each have a soap dish with yellow soap.,wolfe2,007_L_soap,3,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,3,6.081,0,19,19,214,1,a modern bathroom with white brick walls,a modern bathroom with gray cube decorations on a black counter,wolfe2,028_L_vase,2,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,4,8.184,0,20,20,378,1,very nice apartment with red as a theme. there is an empty bookshelf on the second row.,there are books on the second row of the bookshelf that was originally empty.,wolfe2,050_R_book,4,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
,,,,2,5.88,0,21,21,912,1,there is a frame,there is an empty wall,wolfe2,119_L_painting,2,39,AW02W1A865GT4,2021-01-25_10h30.50.573,MetaAwareness,2020.1.2,Win32,60,3INZSNUD81TCXSEGGUB9N3E5OOS9DQ,AW02W1A865GT4,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3T3B0,3T3B0,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,3B3WTRP3DC5SG2EU97WUF3IPHBE92O,271100,271100,,,,,,,,,,
