consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,3.68314,space,15.952225,3,21.806135,0,0,0,116,1,students working on their laptops and textbooks. the bulletin board behind them has a red poster on the bottom,students working on their laptops and textbooks. the bulletin board behind them has a yellow poster on the bottem.,wolfe1,image-083,3,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,3,12.45382,0,1,1,150,1,"a group of doctors and or nurses are in a meeting room having a discussion, and one of the men is wearing a light blue button-down dress shirt","a group of doctors and or nurses are in a meeting room having a discussion, and one of the men is wearing a light green button-down dress shirt",wolfe1,image-104,6,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,3,5.51864,0,2,2,214,1,a rooftop lounge area with a blue house below,a rooftop lounge area with a pink house below,wolfe1,image-136,6,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,12.25234,0,3,3,39,1,"there is a beach with people, tents, and kayaks all around. there is a blue chair facing the water.","there is a beach with people, tents, and kayaks all around. there is no blue chair facing the water.",wolfe1,image-018,3,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,4,10.15332,0,4,4,23,1,someone sets up camp in the snow and a yellow piece of plastic is by their equipment,someone sets up camp in the snow and their equipment is all around them,wolfe1,image-010,5,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,5.495035,0,5,5,125,1,people walking along a street and a woman in a pink shirt,people walking along a street and a woman in a green shirt,wolfe1,image-090,3,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,9.618785,0,6,6,192,1,a person that's in water and about to climb up a rope. they're wearing a blue life vest.,a person that's in water and about to climb up a rope. they're wearing a green life vest.,wolfe1,image-128,2,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,6.986325,0,7,7,199,1,a group of people in a cold snowy place with a man in blue getting into something that is orange.,a group of people in a cold snowy place with a man in blue getting into something that is blue.,wolfe1,image-130,1,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,3.15651,0,8,8,94,1,an empty field with 7 bails of hay scatterered around.,an empty field with 6 bails of hay scattered around.,wolfe1,image-045,6,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,6.25102,0,9,9,54,1,a crowd forms in front of benches with placards on them,"a crowd forms in front of benches, some of which have placards",wolfe1,image-027,5,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,8.948855,0,10,10,146,1,a group of men posing for a picture with the gentleman all the way on the right wearing a bright red tie.,a group of men posing for a picture with the gentleman all the way on the right wearing a dull red tie.,wolfe1,image-102,2,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
,,,,5,6.28457,0,11,11,73,1,a backyard with six paver stones,a backyard with five paver stones,wolfe1,image-034,9,28,A13NZ6WOQTSOR5,2021-02-17_19h39.46.757,MetaAwareness,2020.1.2,MacIntel,60,38LRF35D5MZCZS0MLG0O6QF7BYZU3V,A13NZ6WOQTSOR5,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,YT0L6,YT0L6,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,3L0KT67Y8FJ0M230BY3G52OKRMJSY3,276286,276286,,,,,,,,,,
