consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,12.282,space,31.566,2,18.998,0,0,0,264,1,an outdoor dining table arrangement with 9 place completely set for dining and 1 place missing its plate and silverware,an outdoor dining table arrangement with 9 places completely set for dining and 1 place missing its plate,ma,67862299,3,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,5,14.607,0,1,1,324,1,heart decorations and painted heart stones touching,heart decorations and painted heart stones,ma,75958241,4,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,4,4.211,0,2,2,424,1,a tablecloth with one orange flower and the rest are red.,a tablecloth with red flowers,ma,87983207,3,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,5,9.279,0,3,3,270,1,rows of business cards with a website at the bottom of the card,rows of business cards with the website under the phone number,ma,69128765,3,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,3,13.082,0,4,4,213,1,food table. egg on the back has less cheese,food table. egg on the back has more cheese.,ma,51537628,3,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,4,5.252,0,5,5,375,1,"an eceltic decorated room with artwork hung on the wall with clothes pins, the center artwork being the largest and pink.","a decorated bedroom with artwork hung on the wall with string and clothes pins, the center artwork being pink.",ma,79573638,4,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,6,10.771,0,6,6,331,1,cupcakes with the word 'gughlhof' on a ribbon,cupcakes with the word 'gugelhof' on a ribbon,ma,77345858,4,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,6,7.708,0,7,7,487,1,"a checkered cloth table with small books and pamphlets, including a black book with a white sillouette of a man on the right side of the cover","a checkered cloth table with small books and pamphlets, including a blackbook with a white sillouette of a man on the right side of the cover",ma,98265889,1,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,6,7.367,0,8,8,386,1,a name board is not available infront of spoon on the table.,a name board is available infront of spoon on the table.,ma,81993755,2,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
,,,,5,8.262,0,9,9,185,1,a chocolate cake with a brown smiley face.,a chocolate cake with a red smiley face.,ma,46635293,2,32,A2PN1H89SQF28M,2021-01-07_22h10.46.623,MetaAwareness,2020.1.2,Win32,60,3ZRKL6Z1E96XERK6RQC8AJMSSLSSGM,A2PN1H89SQF28M,3F6KKYWMNC408EG476ZGTN4DI5SND9,MK6F5,MK6F5,3F6KKYWMNC408EG476ZGTN4DI5SND9,3F6KKYWMNC408EG476ZGTN4DI5SND9,267895,267895,,,,,,,,,,
