consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,42.34048,space,9.89905,1,5.066395,0,0,0,123,1,people in front of a temple with several spires,people in front of a temple with a missing spire,wolfe1,image-042,7,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,3,9.367,0,1,1,308,1,an old woman wearing blue jeans is standing in a crowd of people on a road,an elderly woman wearing grey pants is standing in a crowd of people on the roadside,wolfe1,image-129,6,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,4,10.535305,0,2,2,250,1,a city street that has a variety of shops on it. there is a building with a red roof and writing in the background.,a city street that has a variety of shops on it. there is a building with a blue roof and writing in the background.,wolfe1,image-110,4,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,1,5.413995,0,3,3,3,1,people in a classroom with curtains on the window,people in a classroom with no windows,wolfe1,image-003,5,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,4,67.680405,0,4,4,6,1,a man fishing on a wooden bench with a huge metal chain on it,a man fishing on a bench made of two wooden planks,wolfe1,image-004,4,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,5,4.86646,0,5,5,209,1,a group of practicing singers practicing with a blue bin next to the pianist.,a group of singers practicing with a green bin next to the pianist.,wolfe1,image-096,4,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,5,3.86592,0,6,6,196,1,a group of people on a basketball court with one person wearing a pair of pink pants,a group of people on a basketball court with one person wearing a pair of green pants,wolfe1,image-093,3,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,5,9.06073,0,7,7,284,1,"blue, white and red buildings on a street front, the blue bluilding has a green sign in the window","blue, white, and red buildings on a street front, the blue building has a red sign in the window",wolfe1,image-123,7,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,5,8.400045,0,8,8,105,1,two cars are shown on a street parked in front of a yellow house with a yellow sign while someone sweeps the sidewalks,two cars are shown on a street parked in front of a yellow house while someone sweeps the sidewalks,wolfe1,image-038,3,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
,,,,5,3.70427,0,9,9,296,1,"a group of guys playing volleyball, one guy is wearing a blue shirt.","a group of guys playing volleyball, one guy is wearing a green shirt.",wolfe1,image-126,5,38,A26NGLGGFTATVN,2021-01-09_09h03.52.284,MetaAwareness,2020.1.2,Win32,60,3RBI0I35XF6TG1KRVHXD9BLK52VY3C,A26NGLGGFTATVN,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,WXIK1,WXIK1,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,3KIBXJ1WD6XQ45MQ02LGCPZ8STHOKZ,268121,268121,,,,,,,,,,
