start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
11:6:41:225,11:6:52:852,11:7:7:760,11:7:7:765,space,49.45322,11:7:57:343,11:7:57:356,space,4.00799,11:8:1:392,11:8:2:408,,space,16.12295,11:8:18:614,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.376302083,-0.184895833,0,0,0,11:8:19:624,,space,8.369755,11:8:28:57,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.376302083,-0.184895833,0,0,0,11:8:29:73,,space,7.27462,11:8:36:406,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.376302083,-0.184895833,0,0,0,11:8:37:431,return,7.419015,11:8:44:871,11:8:45:905,,return,64.46925,11:9:50:437,a sink and counter in a room.,a sink and counter in a room with handtowels add the the bottom shelf.num_enter,-0.016927083,-0.375,0,0,0,0,0,0,2,1,AOP9WB55GYGL7,48,wolfe_024_R_towels-a_w_outline.jpg,wolfe_024_R_towels-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:9:51:452,,return,66.57477,11:10:58:70,a room with windows for walls. lots of plants.f,a room with windows for walls that has a vase on the floor by one of the potted plants.,0.1328125,-0.303385417,0,0,0,0,1,1,10,1,AOP9WB55GYGL7,222,wolfe_111_R_pot-a_w_outline.jpg,wolfe_111_R_pot-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:10:59:83,,return,28.726955,11:11:27:852,a kitchen with 3 in ceiling lights.,a kitchen with 4 in ceiling lights.,0.177083333,-0.311197917,0,0,0,0,2,2,9,1,AOP9WB55GYGL7,150,wolfe_075_R_light-a_w_outline.jpg,wolfe_075_R_light-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11:28:864,,return,136.287215,11:13:45:192,a modern looking bathroom with one cup on the counter.,a modern looking bathroom with two cups on the counter.,0.2734375,-0.28125,0,0,0,0,3,3,3,1,AOP9WB55GYGL7,56,wolfe_028_R_vase-a_w_outline.jpg,wolfe_028_R_vase-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:13:46:208,,return,56.45215,11:14:42:723,a bedroom with a lot of pink in it . with a nightstand that has a furry surface.,a bedroom that has a lot of pink in it with a purse on the nightstand that has a furry surface.,0.263020833,-0.34765625,0,0,0,0,4,4,7,1,AOP9WB55GYGL7,116,wolfe_058_R_clutch-a_w_outline.jpg,wolfe_058_R_clutch-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:14:43:738,,return,71.95445,11:15:55:740,a modern looking living room that has 1 ceiling beam.,a modern looking living room that has 2 ceiling beams.,0.18359375,-0.330729167,0,0,0,0,5,5,4,1,AOP9WB55GYGL7,62,wolfe_031_R_log-a_w_outline.jpg,wolfe_031_R_log-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15:56:753,,return,46.73989,11:16:43:533,a modern looking living room with one ceiling light.,a modern looking living room with two ceiling lights. ,0.3671875,-0.294270833,0,0,0,0,6,6,1,1,AOP9WB55GYGL7,30,wolfe_015_R_ceilinglight-a_w_outline.jpg,wolfe_015_R_ceilinglight-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:16:44:550,,return,38.53545,11:17:23:132,a library with 2 circular trash bins.,a library with 3 circular trash bins.,0.25,-0.321614583,0,0,0,0,7,7,6,1,AOP9WB55GYGL7,114,wolfe_057_R_bin-a_w_outline.jpg,wolfe_057_R_bin-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:17:24:148,,return,33.850295,11:17:58:46,a hotel room with a view of the city.,a hotel room with a view of the city that has a tower in the background.,0.389322917,-0.3828125,0,0,0,0,8,8,0,1,AOP9WB55GYGL7,8,wolfe_004_R_electricalgrid-a_w_outline.jpg,wolfe_004_R_electricalgrid-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:17:59:63,,return,44.830405,11:18:43:944,a meeting room with a brown shelf.,a meeting room that has a picture on the brown shelf. ,0.359375,-0.321614583,0,0,0,0,9,9,8,1,AOP9WB55GYGL7,134,wolfe_067_R_painting-a_w_outline.jpg,wolfe_067_R_painting-b_w_outline.jpg,31,AOP9WB55GYGL7,2020-12-21_11h06.52.596,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQPLBR6,3ZPBJO59KQ48YIUT4843O37HU12DHN,9JPZ4,9JPZ4,3ZPBJO59KQ48YIUT4843O37HU12DHN,3ZPBJO59KQ48YIUT4843O37HU12DHN,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
