consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,6.768,space,24.272,6,10.004,0,0,0,22,1,there is some red color flowers,there is some yellow color flowers,wolfe1,image-095,3,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,3,5.472,0,1,1,11,1,a scout troop marches in a parade. one of the scouts in front has badges on both sides of her uniform.,a scout troop marches in a parade. one of the scouts in front has badges on one side of her uniform.,wolfe1,image-031,7,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,4,3.809,0,2,2,1,1,"a band plaing music outdoors on a sidewalk, there is a small sign on the wall behind them.","a band playing music outdoors on a sidewalk, there is no sign on the wall behind them.",wolfe1,image-013,3,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,6,3.82,0,3,3,20,1,two men one in yellow shirt watch motorcross biking,two men one in a green shirt watch motorcross biking,wolfe1,image-076,7,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,5,4.764,0,4,4,0,1,a street in milwaukee close to se water with a solar panel nearby,a street in milwaukee close to se water,wolfe1,image-007,5,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,5,2.967,0,5,5,2,1,"a group of four men stand on a golf course, and one of them is getting ready to swing, and there is a peg in the ground behind him","a group of four men stand on a gold course, and one of them is getting ready to swing",wolfe1,image-017,4,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,6,4.142,0,6,6,25,1,airplanes next to yellow truck,airplanes next to red truck,wolfe1,image-111,3,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,5,4.462,0,7,7,28,1,a volley ball game in a wooded park setting with a group of three people watching a ball about to be volleyed back,a volleyball game with a group of three players watching on the right watching one person about to hit the ball across in a park setting,wolfe1,image-126,1,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,6,2.291,0,8,8,13,1,a collection of boats and ten people on jet skis in an open body of water,a collection of boats and nine people on jet skis in an open body of water,wolfe1,image-035,4,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
,,,,5,3.027,0,9,9,4,1,an outdoor event with many people and a white tent. there is a pink and white striped bag on the grass,"an outdoor event with many people and a whitee tent, there is no pink and white striped bag on the grass in this image",wolfe1,image-020,6,35,A1HUIJ5U9UW86A ,2021-02-18_07h52.02.643,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH7M4PGU,A1HUIJ5U9UW86A,3WYP994K18UVZ4534L0D4XSS90HY6O,K9YW3,K9YW3,3WYP994K18UVZ4534L0D4XSS90HY6O,3WYP994K18UVZ4534L0D4XSS90HY6O,276373,276373,,,,,,,,,,
