consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,3.20455,space,0.38037,3,13.37143,0,0,0,580,1,a group of people standing outside a building. the lady in the front is wearing blue jeans,a group of people standing outiside a building. the lady in the front is wearing gray pants.,wolfe1,image-129,4,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,4,1.052175,0,1,1,132,1,three runners run past three birds behind them,three runners run past green grass behind them,wolfe1,image-022,5,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,4,0.58365,0,2,2,317,1,papers and a pink folder on a table with other items in front of two women looking at reports - they are outdoors,papers and a blue folder on a table with other items in front of two women looking at reports - they are outdoors,wolfe1,image-081,5,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,5,0.572825,0,3,3,101,1,a group of men are watching a man hit a golf ball in the marked hole.,a group of men are watching a man hit a golf ball in an unmarked hole.,wolfe1,image-017,7,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,6,0.63626,0,4,4,370,1,seniors exercising in a rec room with one lady wearing white shoes.,seniors exercising in a rec room with one lady wearing light purple shoes.,wolfe1,image-092,3,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,6,2.7865,0,5,5,280,1,a class room with three people in front lecturing with stacked up items in the corner behind them.,a classroom with three people in the front talking with a bare corner behind them.,wolfe1,image-050,1,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,6,0.384185,0,6,6,214,1,a store that has different shelves of items where the top shelf is all the same except for 1 large black square,a store that has different shelves of items where the top shelf is all the same item,wolfe1,image-039,2,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,6,0.29439,0,7,7,581,1,"adult tourists stand on a street in an asian country in front of a large gray building, and one of the women is wearing blue jeans","adult tourists stand on a street in an asian country in front of a large gray building, and one of the women is wearing grey pants",wolfe1,image-129,5,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,5,0.295275,0,8,8,604,1,"ther is a living room with a fireplace. there are white colored sofa around the fireplace. the sofa to the right has red, black, and dark red pillows on it.","there is a living room with a fireplace. there are white colored sofas around the fireplace. the sofa to teh right has red, black, and green pillows on it.",wolfe1,image-132,6,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
,,,,5,0.289975,0,9,9,429,1,a group of men in formal attire. one of the men has a red tie. ,a group of men in formal attire. one of the men is wearing  a brown tie.,wolfe1,image-102,6,21,A3XP7CO1MN1TK,2021-01-07_06h00.40.083,MetaAwareness,2020.1.2,Win32,60,3FHTJGYT8O301Z4EZ98EFEHH50YPGE,A3XP7CO1MN1TK,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,UZHO5,UZHO5,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,3OHYZ19UGD8KSSD4OB8RIBWCM9ZOAF,267715,267715,,,,,,,,,,
