consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,3.47347,space,4.63781,1,5.507665,0,0,0,63,1,a chiar without leg support,a chair with leg support,wolfe2,077_R_footrest,4,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,7.53231,0,1,1,17,1,a nice bathroom with two sinks and two red cups sitting on a shelf,a nice bathroom with two sinks and three red cups sitting on a shelf.,wolfe2,029_R_glass,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,6.884005,0,2,2,87,1,a modern looking family room that has a yellow and orange decorative pillows,a modern looking family room that has a yellow decorative pillow,wolfe2,109_L_pillow,4,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,8.21592,0,3,3,76,1,a birdseye view of a living room with four candles by a large mirror,a birdseye view of a living room with three candles by a large mirror,wolfe2,095_R_candle,6,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,3.386305,0,4,4,40,1,4 speakers  are available in the room,there is 5 speakers available in the room,wolfe2,052_R_speaker,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,6.92584,0,5,5,33,1,"a bedroom with a large window, mustard-yellow accents, and a dark bedside table","a bedroom with a large window, mustard-yellow accents, and a dark bedside tablewith and electronic device on it.",wolfe2,045_R_musicdock,3,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,11.176365,0,6,6,94,1,it is a guest house there are chair and table present and natural scenary present there is an water can present inside the box,it is a guest house there are chair and table present and natural scenary present. there is no object present in the box,wolfe2,124_L_vase,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,6.49201,0,7,7,20,1,a sunny bathroom with two counter and sink units,a sunny bathroom with one long counter and two sinks,wolfe2,030_L_drawer,6,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,3,6.783115,0,8,8,35,1,a white drawer with black on top,a design insignia on front of a white drawer,wolfe2,047_R_handle,6,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,5.590975,0,9,9,0,1,"a restaurant dining room with the tables set with cups, plates, silverware and folded orange towels at almost every seat.","a restaurant dining room with table set, containing plates, cups, silverware, and folded orange towels at every seat.",wolfe2,002_L_napkin,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,5.88514,0,10,10,85,1,a closet full of womens clothes with a dresser with a blue decoration on it,a closet full of womens clothes with a dresser with hairbrushes on it and no decor,wolfe2,108_L_boa,2,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,8.43606,0,11,11,77,1,a nice bedroom with a large bed and chair with a pillow on the floor between them,a nice bedroom with a large bed and chair,wolfe2,098_L_slippers,2,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,5.20609,0,12,12,64,1,a full stocked kitchen with white and black furniture and a tall black shelf,"a fully stocked kitchen with white and black furniture and a tall black shelf, and a plant",wolfe2,080_R_plant,4,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,6.300075,0,13,13,66,1,a classy vacation beach house space with open door,fresh air in the beach house,wolfe2,084_R_light,7,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,6.885305,0,14,14,42,1,theres a fireplace in the living room with nothing in it,theres a fireplace in the living room with wood in it,wolfe2,054_L_firewood,3,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,9.32622,0,15,15,89,1,a sun room area with a plant displayed in the corner,a sun room area with a plant not displayed in the corner,wolfe2,113_L_plant,4,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,1.269,0,16,16,58,1,a generic living room with a built-in bookshelf that has candles on the top shelf next to a black box,a generic living room with a built in bookshelf that has a black box on the top shelf,wolfe2,069_R_things,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,3,2.533805,0,17,17,90,1,a room with double glass doors and windows down one side with a house plant sitting on a small table just inside the door.,a room with double glass doors and windows down one side with a small table just inside the door,wolfe2,117_L_plant_sized,4,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,0.931015,0,18,18,78,1,a bright modern dining room that has 3 candles on the wall,a bright modern dining room that has 2 candles on the wall,wolfe2,099_L_sconce,2,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,2.194025,0,19,19,14,1,a clean living room with 5 colorful statues,a clean living room with 6 colorful statues,wolfe2,025_L_vase,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,1.20406,0,20,20,95,1,a large black and white living room with a small stool next to the windows,a large black and white living room without a small stool next to the windows,wolfe2,125_L_sofa,5,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,0.908635,0,21,21,8,1,"a minimalistic living room in a modern home, with a pedestal that has nothing on it.","a minimalistic living room in a modern home, with a pedestal that has an artistic object on it.",wolfe2,016_L_art,6,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,1.79196,0,22,22,11,1,in a nice workroom with a fireplace there is a computer desk without a keybord for  the computer,in a nice workroom with a fireplace there is a computer desk with a keyboard in front of a computer,wolfe2,021_L_keyboard,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,1.01821,0,23,23,75,1,"a bright living room set up with a mirror, a coffee table, and candles in light votives and a candle in a dark votive on the fireplace","a bright living room set up with a mirror, a coffee table, and candles in light colored votives on the fireplace",wolfe2,095_R_candle,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,0.9346,0,24,24,65,1,a child's bedroom that is very colorful with a knob missing on the blue drawer,a child's bedroom that is very colorful with all the knobs intact on the dresser,wolfe2,083_L_knob,1,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,0.97915,0,25,25,61,1,bright and inviting living area. has a coffe table with plants on it.,bright and inviting living area. has a coffee table with plants and a book on it,wolfe2,074_R_book,3,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,4,1.403265,0,26,26,22,1,an open living room with beige couch and one visible roof beam,an open living room with beige couch and two visible roof beams,wolfe2,031_L_log,4,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
,,,,5,1.31983,0,27,27,38,1,white living room with fake fireplace,white living room with perfume sitting on fake fireplace,wolfe2,051_L_owl,5,26,A36CQIFWEDEECU,2021-02-18_13h23.48.425,MetaAwareness,2020.1.2,Win32,60,3Z3R5YC0P4QSFR1Q56BG23I2VAQFTR,A36CQIFWEDEECU,3L2IS5HSFBLMPGRQT1P53N8182XUNY,SS2L1,SS2L1,3L2IS5HSFBLMPGRQT1P53N8182XUNY,3L2IS5HSFBLMPGRQT1P53N8182XUNY,276411,276411,,,,,,,,,,
