start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
13:34:58:451,13:35:37:62,13:35:51:978,13:35:51:980,space,3.480465,13:35:55:533,13:35:55:538,space,23.71238,13:36:19:262,13:36:20:263,,space,12.15396,13:36:32:458,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.124999989,0.025925919,0,0,0,13:36:33:464,,space,11.55172,13:36:45:41,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.124999989,0.025925919,0,0,0,13:36:46:48,,space,3.76896,13:36:49:860,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.124999989,0.025925919,0,0,0,13:36:50:872,return,5.09841,13:36:55:985,13:36:57:6,,return,50.914385,13:37:47:959,a group exercise event where one of the participants is wearing white shoes,a group exercise event where one of the participants is wearing purple shoes,0.120370385,-0.321296365,0,0,0,0,0,0,9,1,A23EGLIF8IEH11,67,wolfe_image-092-a_w_outline.jpg,wolfe_image-092-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:37:48:966,,return,47.846215,13:38:36:842,a waiting room with a few seats and a table decorated with a white vase,a waiting room with a few seats and a table,0.180555571,-0.312962975,0,0,0,0,1,1,6,1,A23EGLIF8IEH11,43,wolfe_image-043-a_w_outline.jpg,wolfe_image-043-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:38:37:848,,return,157.479475,13:41:15:344,"a small open building in a yard with a hammock and couch, next to it is a small concrete donut with plants in the center",a small open building in a yard with a hammock and a couch,0.091666681,-0.324074086,0,0,0,0,2,2,1,1,A23EGLIF8IEH11,12,wolfe_image-012-a_w_outline.jpg,wolfe_image-012-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41:16:351,,return,58.12075,13:42:14:505,"a woman petting a deer in an outdoor setting, in the background is a man dressed in black clothing",a woman petting a deer in an outdoor setting,0.231481498,-0.297222234,0,0,0,0,3,3,0,1,A23EGLIF8IEH11,8,wolfe_image-008-a_w_outline.jpg,wolfe_image-008-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42:15:511,,return,161.814165,13:44:57:340,"an open dining area with an area for children, there is a white egg casing","an open dining area with an area for children, there are yellow and blue egg casings",0.146296312,-0.270370438,0,0,0,0,4,4,5,1,A23EGLIF8IEH11,37,wolfe_image-037-a_w_outline.jpg,wolfe_image-037-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:44:58:347,,return,45.781895,13:45:44:146,"a living room with two white sofas, a red pillow is used","a living room with two white sofas, a green pillow is used",0.175000016,-0.258333345,0,0,0,0,5,5,10,1,A23EGLIF8IEH11,107,wolfe_image-132-a_w_outline.jpg,wolfe_image-132-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45:45:153,,return,424.515865,13:52:49:686," an outdoor festival with various tents, two trees can be seen in the background","an outdoor festival with various tents, a tree can be seen in  the background",0.61944458,-0.295370382,0,0,0,0,6,6,4,1,A23EGLIF8IEH11,25,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:52:50:692,,return,94.677385,13:54:25:385,"a group of people and an american flag in front of a church, a woman is holding a blue item","a group of people and an american flag in front of a church, a woman is holding a yellow item",0.299074092,-0.311111123,0,0,0,0,7,7,7,1,A23EGLIF8IEH11,52,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54:26:388,,return,28.997435,13:54:55:413,"a group of people rock climbing, one of the climbers is wearing red",a group of people rock cimbing,0.130555571,-0.316666735,0,0,0,0,8,8,3,1,A23EGLIF8IEH11,19,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54:56:416,,return,55.215955,13:55:51:647,"many people are enjoying an outdoor concert in the grass, there is a blanket with no one on it",many people are enjoying an outdoor concert in the grass,0.300000131,-0.241666678,0,0,0,0,9,9,2,1,A23EGLIF8IEH11,14,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:55:52:654,,return,67.30969,13:56:59:992,"there are various people walking down a sidealk in front of a tropicana store, one of them is a woman wearing a red top","there are various people walking down a sidewalk in front of a tropicana store, one of them is a woman wearing a blue top",0.189814831,-0.338888901,0,0,0,0,10,10,11,1,A23EGLIF8IEH11,109,wolfe_image-134-a_w_outline.jpg,wolfe_image-134-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:57:0:995,,return,54.56233,13:57:55:587,"various people are seaed in outdoor tables, one of them is a woman in a pink jacket","various people are seated in outdoor tables, one of them is a woman in a purple jacket",0.284259277,-0.300925938,0,0,0,0,11,11,8,1,A23EGLIF8IEH11,66,wolfe_image-091-a_w_outline.jpg,wolfe_image-091-b_w_outline.jpg,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A23EGLIF8IEH11,,,,24,A23EGLIF8IEH11,2020-12-21_13h35.36.868,MetaAwareness,2020.1.2,Win32,60,3O0M2G5VC75ZXWVNNJAGKZKZAB949H,304SM51WA4749UAP16PWXRQJ0S0SBB,WM403,WM403,304SM51WA4749UAP16PWXRQJ0S0SBB,304SM51WA4749UAP16PWXRQJ0S0SBB,265433,265433,13:57:56:593,,return,21.003805,13:58:17:642,a cow is grazing in a green pasture,there is a green pasture,0.112962978,-0.274074086,0,0,0,13:58:18:649,,return,26.29615,13:58:44:969,a plane is flying as the sun sets,an upper view of the sky as the sun sets,0.157407423,-0.308333345,0,0,0
