consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,28.339295,space,21.093135,5,10.480955,0,0,0,64,1,"two athletes playing soccer, one of them wearing a pink shoe and a blue one","two athletes playing soccer, one of them wearing a pink shoe and a green one",wolfe1,image-082,4,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,4,5.935005,0,1,1,120,1,an outdoor rooftop patio overlooks a baby blue building.,an outdoor rooftop patio overlooks a pink building.,wolfe1,image-136,2,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,3,11.487915,0,2,2,15,1,men on a golf green with a small cube behind one of the men.,men on a golf green without a small cube behind one of the men.,wolfe1,image-017,5,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,5,10.369765,0,3,3,12,1,six men playing instruments outside of a store that has a sign on the building next to them,six men playing instruments outside of a store that has a plain building next to it,wolfe1,image-013,1,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,4,5.42073,0,4,4,60,1,people outdoors with green umbrella,people outdoors with red umbrella,wolfe1,image-080,1,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,4,9.267995,0,5,5,55,1,three adults stand before a small classroom of students and there is a large stack of papers and-or files in the background behind one of the teachers,three adults stand before a small classroom of students and there is a projector screen behind the three instructors,wolfe1,image-050,2,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,4,21.505775,0,6,6,48,1,a beautiful red sunset sith tiny houses dotting the light green covering of grass and snow tipped mountains in the back and one tiny house on the left,"a sunset with soft green grass covering in the foreground, snow tipped mountains and a lake in the foreground and a spot of green grass on the left of some of the houses",wolfe1,image-044,2,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,3,8.416855,0,7,7,111,1,a girl dancing in a room wearing some orange shorts,a girl dancing in a room wearing some purple shorts,wolfe1,image-131,6,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,4,12.80205,0,8,8,98,1,a patio with greenery and a large statue of a head next to a green vase.,a patio with greenery and a large statue of a head next to a purple vase.,wolfe1,image-120,3,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
,,,,3,14.72018,0,9,9,89,1,a group of stores connected together the one on the end has a red sign at the top of it.,a group of stores connected together the one on the end has a blue sign at the top of it.,wolfe1,image-110,5,37,AIHHRINW9IN1I,2021-01-09_16h18.36.162,MetaAwareness,2020.1.2,MacIntel,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AIHHRINW9IN1I,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,EOP39,EOP39,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,33PPO7FECWI8UD5DAQMOOF8WWC3ID5,268159,268159,,,,,,,,,,
