start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
14:33:43:984,14:34:6:734,14:34:21:691,14:34:21:696,space,17.85624,14:34:39:639,14:34:39:642,space,18.801815,14:34:58:469,14:34:59:484,,space,22.13333,14:35:21:658,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.540364583,-0.407552083,0,0,0,14:35:22:673,,space,8.19236,14:35:30:881,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.540364583,-0.407552083,0,0,0,14:35:31:897,,space,9.756295,14:35:41:669,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.540364583,-0.407552083,0,0,0,14:35:42:687,return,5.552785,14:35:48:245,14:35:49:261,,return,102.958775,14:37:32:243,a class room with three people in front lecturing with stacked up items in the corner behind them.,a classroom with three people in the front talking with a bare corner behind them.,-0.036458333,-0.427083333,0,0,0,0,0,0,4,1,A175X5H642OD4W,50,wolfe_image-050-a_w_outline.jpg,wolfe_image-050-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:37:33:265,,return,46.26462,14:38:19:600,a group of people standing outside a building. the lady in the front is wearing blue jeans,a group of people standing outiside a building. the lady in the front is wearing gray pants.,0.145833333,-0.25,0,0,0,0,1,1,11,1,A175X5H642OD4W,104,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:38:20:613,,return,45.83522,14:39:6:467,children playing on a playground with the young girl on the far right wearing a pinkl shirt.,children playing on a playground with the young girl on the far right wearing a orange shirt.,0.520833333,-0.309895833,0,0,0,0,2,2,7,1,A175X5H642OD4W,76,wolfe_image-101-a_w_outline.jpg,wolfe_image-101-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:39:7:477,,return,57.355495,14:40:4:853,a office meetins with a coworker on the left wearing a blue shirt ,a office meeting with a coworker on the right wearing a green shirt,0.23046875,-0.28515625,0,0,0,0,3,3,8,1,A175X5H642OD4W,79,wolfe_image-104-a_w_outline.jpg,wolfe_image-104-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40:5:863,,return,62.940795,14:41:8:828,students working on their laptops and textbooks. the bulletin board behind them has a red poster on the bottom ,students working on their laptops and textbooks. the bulletin board behind them has a yellow poster on the bottem.,0.240885417,-0.305989583,0,0,0,0,4,4,6,1,A175X5H642OD4W,58,wolfe_image-083-a_w_outline.jpg,wolfe_image-083-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:41:9:842,,return,44.50228,14:41:54:361,a plane on the red way getting filled up with gasoline by a yellow and blue truck,a plane sitting on the tarmac getting filled up with gasoline by a red and blue truck,0.2890625,0.013020833,0,0,0,0,5,5,9,1,A175X5H642OD4W,86,wolfe_image-111-a_w_outline.jpg,wolfe_image-111-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:41:55:377,,return,51.636625,14:42:47:52,a man with a shovel talking to a group of people. in he lower corner there is a whte bucket.,a man with a shovel talking to a group of people.,0.204427083,-0.274739583,0,0,0,0,6,6,3,1,A175X5H642OD4W,46,wolfe_image-046-a_w_outline.jpg,wolfe_image-046-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42:48:67,,return,48.624275,14:43:36:714,people congurgating at a outdoor restarurant. there is a table with a green umbrella.,people congrugating at a outdoor restaurant. there is a table with a pink umbrella.,0.264322917,-0.333333333,0,0,0,0,7,7,5,1,A175X5H642OD4W,55,wolfe_image-080-a_w_outline.jpg,wolfe_image-080-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:43:37:729,,return,41.385455,14:44:19:134,a walkway on the water with a green pier post.,a walkway on the water with a brown pier post,0.1953125,-0.27734375,0,0,0,0,8,8,10,1,A175X5H642OD4W,99,wolfe_image-124-a_w_outline.jpg,wolfe_image-124-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44:20:149,,return,34.8425,14:44:55:28,farmland at sunset with 7 hay stacks.,farmland at sunset with 6 hay stacks.,0.25390625,-0.298177083,0,0,0,0,9,9,2,1,A175X5H642OD4W,45,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg,38,A175X5H642OD4W,2021-01-01_14h34.06.594,MetaAwareness,2020.1.2,Win32,60,3J9UN9O9J4V74KQVQUERXQ8PPCLJ07,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,P2WU3,P2WU3,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,3UWN2HHPUZ86A3ZM4WU5OMQDIG6SNR,266723,266723,,,,,,,,,,,,,,,,,,,,,,,,
