consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.358,space,111.719,1,6.871,0,0,0,345,1,"a bedroom with a large window, mustard-yellow accents, and a dark bedside table","a bedroom with a large window, mustard-yellow accents, and a dark bedside tablewith and electronic device on it.",wolfe2,045_R_musicdock,3,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,3,6.176,0,1,1,344,1,no cell phone are available in the room,cell available in the room,wolfe2,045_R_musicdock,1,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,5,4.449,0,2,2,148,1,"a small, but cozy, office space with grass garden and 2 plates on the wall","a small, but cozy, office space with grass garden and 3 plates on the wall",wolfe2,020_L_walldeco,1,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,6,4.495,0,3,3,162,1,a beautiful modern kitchen with 2 ceiling lights,a beautiful modern kitchen with 3 hanging ceiling lights,wolfe2,022_L_lamp,1,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,1,1.789,0,4,4,973,1,a modern looking livingroom with decorative items including three candles,a modern looking livingroom with decorative items,wolfe2,126_R_candles,5,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,3,3.3,0,5,5,725,1,"a bright living room set up with a mirror, a coffee table, and candles in light votives and a candle in a dark votive on the fireplace","a bright living room set up with a mirror, a coffee table, and candles in light colored votives on the fireplace",wolfe2,095_R_candle,1,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,5,4.436,0,6,6,468,1,a dining room table with a chandeler above and 2 glasses on the table,a dining room table with a chandeler above and 3 glasses on the table,wolfe2,061_R_glass,7,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,4,2.509,0,7,7,515,1,a meeting room with a brown shelf.,a meeting room that has a picture on the brown shelf.,wolfe2,067_R_painting,1,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,3,1.078,0,8,8,854,1,a room with windows for walls. lots of plants.f,a room with windows for walls that has a vase on the floor by one of the potted plants.,wolfe2,111_R_pot,1,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
,,,,5,1.071,0,9,9,627,1,bed room with hot and pillow.  a light and class is present .  there is a televison present in the box,"a bed room with hot  and pillow, a light and class is present.  there is a television is present in the box",wolfe2,082_L_bowl,2,24,AQAPV1UA174JQ,2021-01-25_09h45.00.634,MetaAwareness,2020.1.2,Win32,60,34R3P23QHT44L4WQV14RS81EEH3HWU,AQAPV1UA174JQ,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,TWRK0,TWRK0,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,3KRVW3HTZOO0SLEMSVF5B71DF4DMSW,271100,271100,,,,,,,,,,
