consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.512,space,55.316,6,9.425,0,0,0,134,1,a loft type living space. has a dining area with one light hanging above the table,a loft type living space. has a dining area with two lights hanging above the table.,wolfe2,013_R_lamp,5,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,3,4.834,0,1,1,1189,1,a  room with a hot tub that has a potted plant near the right side.,a room with a hot tube that has no potted plants on the right side of the room.,wolfe2,123_R_pot,5,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,4,4.585,0,2,2,68,1,"a bathroom with two sinks, a mirror, multi-colored towels, and a soap dish on one of the sinks","a bathroom with two sinks, a mirror, multi-colored towels, and a soap dish for each sink",wolfe2,007_R_soap,4,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,1,8.265,0,3,3,687,1,a living room nothing on the lamp table,i living room with flower plant on the lamp table,wolfe2,071_R_art,3,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,4,3.68,0,4,4,538,1,a modern white sofa with no blankets or throw cushions,"a modern white sofa with no throw cushions, just a blanket and a magazine",wolfe2,056_R_comforter,1,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,6,4.062,0,5,5,629,1,there are no books on the shelf,bookks appear to be on the shelf ,wolfe2,065_R_cd,2,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,4,4.177,0,6,6,32,1,a hotel room with a view of the city.,a hotel room with a view of the city that has a tower in the background.,wolfe2,004_R_electricalgrid,2,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,1,5.589,0,7,7,746,1,four stool chairs with a missing label on the bottom.,four stool chairs with all labels.,wolfe2,077_L_footrest,6,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,5,0.801,0,8,8,271,1,a black bathroom countertop with a metal block sitting on top,a black bathroom countertop with two metal blocks sitting on top,wolfe2,028_L_vase,3,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,2,0.354,0,9,9,1047,1,a closet with a dresser at the end with a blue thing on top,a closet with a dresser and many clothes,wolfe2,108_L_boa,4,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,4,0.014,0,10,10,583,1,a dining room that has one wine glass on the table,a dining room that has two wine glasses on the table,wolfe2,061_L_glass,6,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,3,0.149,0,11,11,888,1,a burgundy colored bathroom with three sinks and a white box on the back wall.,a burgundy colored bathroom with three sinks and no white box on the back wall,wolfe2,091_L_airfreshener,2,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,5,0.164,0,12,12,926,1,a birdseye view of a living room with four candles by a large mirror,a birdseye view of a living room with three candles by a large mirror,wolfe2,095_R_candle,6,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,4,0.26,0,13,13,944,1,master bedroom with carpet and a light on the wall,master bedroom with dark sheets and a mirrored wall behind the bed and a plain wall beside,wolfe2,097_R_light,4,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,3,0.113,0,14,14,1224,1,a living room with two wall lights,a living room with one wall light,wolfe2,127_L_light,6,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,5,0.103,0,15,15,1076,1,"a bright, sunny living area with a short, stout vase on the floor near a potted plant.","a bright, sunny living area with no vase sitting next to a potted plant.",wolfe2,111_R_pot,3,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,2,0.114,0,16,16,564,1,a childs room with a red shelf that has nothing on it,a childs room with a red shelf that has a white car on the shelf,wolfe2,059_L_car,3,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,4,0.34,0,17,17,735,1,a bathroom with no towel hook on the wall,a bathroom with a towel hook on the wall,wolfe2,076_L_hook,5,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
,,,,3,3.941,0,18,18,1031,1,paper towel dispenser on wall,wall is bare,wolfe2,106_R_toweldispenser,3,46,A10X7U145THWAS,2021-01-24_13h53.19.528,MetaAwareness,2020.1.2,Win32,60,3EQVJH0T41OCTNSW0WZG5OUFAMNHT4,A10X7U145THWAS,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,DZ0M6,DZ0M6,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,3M0NZ3JDP21ZLQFUVOSRQYNUGMHZ5E,271016,271016,,,,,,,,,,
