consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.221135,space,14.719215,4,14.824705,0,0,0,423,1,a bathroom with a bathtub that has one light,a bathroom with a bathtub that has two lights,wolfe2,044_L_light,6,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,4,20.137925,0,1,1,857,1,several chairs lined up in a hair salon with a vent above a painting on the wall,several chairs lined up in a hair salon with a painitng on the wall and nothing above it.,wolfe2,088_L_clock,2,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,4,51.729965,0,2,2,506,1,a stone floored bathroom with linen closet that has 1 large drawer on the bottom,a stone floored bathroom with linen closet that has 2 small drawers on the bottom,wolfe2,053_L_handle,2,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,5,15.12196,0,3,3,982,1,"a bathroom containing a toilet, sink, and cabinet beside the sink with three cups on the third shelf up","a bathroom containing a toilet, sink, and cabinet beside the sink with two cups on the third shelf up",wolfe2,101_R_cup,5,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,4,15.34585,0,4,4,0,1,"a bedroom with green panels on the walls, one of which has been left unadorned","a bedroom with green panels on the walls, one of which contains a small black-bordered mirror",wolfe2,001_L_mirror,1,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,4,0.22044,0,5,5,558,1,nothing upon the sofa,a purse is on the sofa,wolfe2,058_R_clutch,1,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,3,46.64858,0,6,6,1077,1,outdoor patio thats covered with glass walls but gets a lot of sunlight.,"still an outdoor patio with large glass walls and sunlight, but there's a vase missing in the decorations.",wolfe2,111_R_pot,4,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,3,10.08019,0,7,7,147,1,in a living room there is a smooth white ceiling,in a living room there is a double recessed light fixture on the ceiling,wolfe2,015_L_ceilinglight,2,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,4,14.43268,0,8,8,466,1,a bed room with hot and night lamp.  there is no photo in the box,a bed room with hot and night lamp.  there is a photo in the box,wolfe2,049_L_painting,1,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,3,8.750615,0,9,9,1115,1,a kitchen with a basket on the floor next to the door,a kitchen without a basket on the foor,wolfe2,116_L_basket,3,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,4,7.881845,0,10,10,553,1," the library features large chandeliers, wide hallways, and five trash cans","the library features large chandeliers, wide hallways, and six trash cans",wolfe2,057_R_bin,4,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,2,29.276045,0,11,11,954,1,white bedroom with grey and orange accents has some cozy house slippers y the couch,this is a white bedroom with grey and orange accens,wolfe2,098_R_slippers,4,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,5,22.21131,0,12,12,768,1,kitchen with three lights and 26 full shelves,kitchen with three lights and 27 full shelves,wolfe2,079_L_bowl,4,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,1,15.235385,0,13,13,636,1,thebox shows the black wall and white sofa,the box contains white jar in it,wolfe2,066_L_vase,2,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
,,,,5,17.30548,0,14,14,485,1,"a fireplace and mirror in a white room, containing classic accent pieces with a mantle as the centerpiece","a fireplace and mirror in a white room containing classic accent pieces with a mantle as the centerpiece, which has a small glass bird on top of it",wolfe2,051_L_owl,3,22,A2MS1GQLGAX9FZ,2021-01-24_10h34.09.868,MetaAwareness,2020.1.2,Win32,60,3H5TOKO3DAMCFDTPPC740PTXL9N46R,A2MS1GQLGAX9FZ,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,F5GN6,F5GN6,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,3NGI5ARFTU86J4C57SSDWA8ZU7U1P2,271016,271016,,,,,,,,,,
