consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,4.30704,space,12.385185,3,17.12156,0,0,0,53,1,kids on the side of the house after playing in the standing water,kinds on the side of the house after playing in the grass,wolfe1,image-048,2,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,2,29.162545,0,1,1,58,1,the inside of a large mall where people walk around shopping in different stores. one clothing store on the second floor has a red dress on display,the inside of a large mall where people walk around shopping in different stores.one clothing store on the second floor has a purple dress on display,wolfe1,image-079,3,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,4,7.809735,0,2,2,104,1,"a group of people attempt to remove snow from a car, one of whom is holding a blue shovel","a group of people attempt to remove snow from a car, one of whom is holding a green shovel",wolfe1,image-127,4,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,4,6.977215,0,3,3,96,1,people are gathered at an outdoor market filled with various fruits and vegetables. one of the awnings covering the stalls is blue,people are gathered at an outdoor market filled with various fruits and vegetables. one of the awnings covering the stalls is red.,wolfe1,image-117,7,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,2,9.61203,0,4,4,99,1,a storefront is next to an apartment building in a hispanic-themed part of a city. the door to the storefront is decorated with a blue sash.,a storefront is next to an apartment building in a hispanic-themed part of a city. the door to the storefront is decorated with a red and blue sash.,wolfe1,image-123,9,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,2,8.85027,0,5,5,105,1,"several people lined up to cliff jump into the water, a boy being pulled out of the water has a purple life jacket on","several people lined up to clidd jump into the water, a boy being pulled out of the water has a green life jacket on",wolfe1,image-128,3,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,4,5.17433,0,6,6,116,1,a grassy outdoor seating area with a red surfboard leaning against the wall,a grassy outdoor seating area with a blue surfboard leaning against the wall,wolfe1,image-133,6,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,2,7.810325,0,7,7,101,1,two people walking a dog towards a pier with three green poles in the water,two people walking a dog towards a pier with two green poles and one brown pole in the water,wolfe1,image-124,5,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,3,9.931425,0,8,8,10,1,a short coffee table bearing two small cactuses and other objects sits near a chair in a room,a short coffee table bearing a cactus and other objects sits hear a chair in a room,wolfe1,image-011,5,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
,,,,1,6.975295,0,9,9,41,1,kids playing basketball in front of a house with a lamp hanging on the wall,kids playing basketball in their front yard,wolfe1,image-040,7,36,AM2XPIQDRJN93,2021-01-09_13h57.55.694,MetaAwareness,2020.1.2,Win32,60,3OWZNK3RYMSNEA43HGMJNGAF30OU23,AM2XPIQDRJN93,3X4JMASXCNC48LQDS46CNLK07XAB0W,XM4X9,XM4X9,3X4JMASXCNC48LQDS46CNLK07XAB0W,3X4JMASXCNC48LQDS46CNLK07XAB0W,268159,268159,,,,,,,,,,
