consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,6.283085,space,16.861975,5,11.63872,0,0,0,18,1,a changing table against a blue wall with a larger sun light,a changing table against a blue wall with a smaller sun light,ma,24383097,4,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,5,10.08744,0,1,1,23,1,a birthday cake with a toybox and toys in it. the star is upside down .,a birthday cake with a toybox and toys in it. the star is rightside up,ma,32289063,4,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,4,19.738405,0,2,2,2,1,a table with a pink tablecloth with a place setting for 6 with clear glassware four tealight candles burning each inside a shell. green napkins and silverware and pink and white flowers in the center,a table with a pink tablecloth with a place setting for six with clear glassware  four tealights lit and each sitting inside a seashell there are white and pink flowers in the center of the table.,ma,10810329,1,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,5,6.248865,0,3,3,98,1,an envelope with a stamp of an upside down gnome sits with some crafting materials,an envelope with a stamp of a right side up gnome sits with some crafting materials,ma,8974554,5,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,4,14.558885,0,4,4,31,1,"an old computer sits on a desk, next to a tablet, and above it sits a shelf filled with items, including a half filled bin.","an old computer sits on a desk, next to a tablet, and above it sits a shelf filled with items, including a fully filled bin.",ma,4247084,3,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,5,7.847535,0,5,5,112,1,a desk with dual monitors. a tall umbrella stands to the left of the desk,a desk with dual monitors. a short umbrella stands to the left of the desk,ma,98156944,8,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,3,9.66694,0,6,6,90,1,"pink and red desserts displayed in glass containers on a table, cake pops to the right and one is missing a stick","pink and red desserts displayed in glass containers on a table, cake pops to the right with pink sticks.",ma,86520382,5,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,3,45.489825,0,7,7,75,1,bunch of violet and cream flowers on a linen table cloth with a white bunch on the left,a bunch of violet and cream flowers on a linen table cloth with a violet bunch on the left,ma,77574131,2,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,3,5.7934,0,8,8,10,1,"a yellow, green, red, and blue mostly solid striped parachute","a yellow, green, red, and blue solid striped parachute",ma,12178414,11,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,3,5.8481,0,9,9,39,1,"a table with with cheese, crackers, preztles and twelve devil eggs","a table with cheese and crackers on a white dish, twelve devil eggs, a clear bowl with preztles",ma,51537628,1,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,4,5.738735,0,10,10,73,1,decorated cupcakes with ribbon fondant with the letter h in the center,decorated cupcakes with ribbon fondant with the letter e in the center of the ribbon,ma,77345858,5,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,5,13.17023,0,11,11,16,1,village pieces with a village quilt frame behind it the house has a large window,willage pieces with a village quilt frame behind it the house has a small window,ma,23024660,5,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,4,10.240175,0,12,12,35,1,a pot contains a pink color with brown shade design,a pot contains a yellow color with green shade design.,ma,46475259,3,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
,,,,5,9.083795,0,13,13,108,1,a collection of pencils and notecards. one notecard has a blank space below the name and a description above the phone number and email.,a collection of pencils and notecards. one notecard has a blank space above the phone number and email and a description below the name.,ma,97475929,3,36,A2K9HSMVUUZJSI,2021-02-17_21h10.23.181,MetaAwareness,2020.1.2,MacIntel,60,32PT7WK7DNIQIQP0ZLAZWQBJPYAD3A,A2K9HSMVUUZJSI,3VHHR074H4KU35C94GGFG3QSVTDL7S,4RHV2,4RHV2,3VHHR074H4KU35C94GGFG3QSVTDL7S,3VHHR074H4KU35C94GGFG3QSVTDL7S,276282,276282,,,,,,,,,,
