consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,42.565605,space,18.594855,2,1.432645,0,0,0,274,1,there are two boats and some people at the river. ,there is one boat and some people at the river.,rensink,SummerLake,5,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,2,2.481025,0,1,1,231,1,women posing in front of white building,women posing in front of peach building,rensink,Nurses,6,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,4,1.99064,0,2,2,97,1,two women and a man in native dress smiling in front of a light,two women and a man in native dress smiling in front of a green light,rensink,Description,6,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,1,1.759855,0,3,3,68,1,a european city scene reflected in rippling water,a european city scene with no reflection on calm water,rensink,CanalBridge,1,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,5,1.722805,0,4,4,81,1,a helicopter attempts to lift a military jeep with man riding in its back,a helicopter that seems to be higher in the air tries to pick up a military jeep with a man riding in its back,rensink,Chopper,1,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,4,1.49994,0,5,5,13,1,a military person pointing a gun at a jeep and a shadow on the road,a military person pointing a gun at a jeep and a sunny spot on the road,rensink,Army,7,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,2,1.64558,0,6,6,94,1,the women behind the wall red colour,the women behind the wall green colour,rensink,Description,3,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,3,1.74531,0,7,7,232,1,an ancient egypt structure with a big tree at the background,an ancient egypt structure with no tree at the background,rensink,Obelisk,1,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,5,1.833515,0,8,8,136,1,there is a man on a construction truck and he is wearing a dark green plaid shirt. ,there is a man on a construction truck and he is wearing a bright green plaid shirt. ,rensink,Farmer,4,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
,,,,2,1.357965,0,9,9,30,1,flowers in the foregroud with a patch of grass to its side and barrels stacked in the background,flowers in the foreground with no patch of grass to its side and barrels stacked in the background,rensink,Barrels,5,31,A1CYM5JVIZL7YM,2021-01-06_13h32.41.620,MetaAwareness,2020.1.2,Win32,60,3J6BHNX0UAV500OK9LG19H4FC1KNKN,A1CYM5JVIZL7YM,39N5ACM9HFQO89F0B576BGQIQTDP9C,9AN97,9AN97,39N5ACM9HFQO89F0B576BGQIQTDP9C,39N5ACM9HFQO89F0B576BGQIQTDP9C,267577,267577,,,,,,,,,,
