"image_1_text","image_2_text","database","image","number"
"there is a table by the beach with 8 place settings.","there is a table by the beach with 8 place settings and two glass jars in the center.","wolfe1","image-001","1"
"dining tables with place settings and a salt shaker and also chairs next to a blue ocean. ","dining tables with place mats and  silverware but lacking salt and pepper overlooking a blue ocean. ","wolfe1","image-001","2"
"salt and pepper shakers sit atop a wooden dining table of a restaurant outside on a beach overlooking the ocean","wooden dining tables sit atop a wooden floor outside on a beach overlooking the ocean; it is a restaurant with outdoor seating","wolfe1","image-001","3"
"a table is set with salt in a seaside dining area  ","a table with no food on it is set in a seaside dining area","wolfe1","image-001","4"
"an outdoor dining area on the beach, the table towards the front has salt and pepper shakers in the middle","an outdoor dining area on the beach","wolfe1","image-001","5"
"a table is set at an outdoor cafe next to the sea. the table setting has service for eight and salt and pepper shakers.","a table is set at an outdoor cafe next to the sea. the table setting has service for eight.","wolfe1","image-001","6"
"this is a yard with a lot of clothing laying around and hanging on the trees. there is a blue piece of clothing on the right tree.","this is a yard with a lot of clothing laying around and hanging on the trees. there is nothing hanging on the far right side of the tree.","wolfe1","image-002","1"
"a yard sale in front of a brick house with clothing and a childs to and a blue dress","a yard sale in front of a brick house with clothing and a childs toy","wolfe1","image-002","2"
"yard sale with clothes and toy table with a blue jacket hanging by the table","yard sale with clothes and brown jacket hanging by a table.","wolfe1","image-002","3"
"a yard sale with a blue shirt and a brown coat hanging up in front of a brick house.","a yard sale with a brown coat hanging up in front of a brick house.","wolfe1","image-002","4"
"there are two houses. in the front of one of the houses there appears to be a garage sale. ther are clothes on the yard and hangin from a tree. a blue dress is hanging from the side","there are two houses. in the front of one of the houses, there appears to be a garage sale. there are clothes on the yard and hanging from the tree.","wolfe1","image-002","5"
"a group of people are having a discussion in a classroom, there is a curtain over the window in the room.","a group of people are sitting in a classroom having a discussion.","wolfe1","image-003","1"
"some people sitting in a room with a curtain on a window","some people in a room with a white wall behind them","wolfe1","image-003","2"
" eight people sitting in a classroom with a window with a closed curtain in the far corner. ","eight people sitting in a classroom with no window in the corner. ","wolfe1","image-003","3"
"a presentation being held in a basement with one window","a presentation being held in a basement with no windows","wolfe1","image-003","4"
"people in a classroom with curtains on the window","people in a classroom with no windows","wolfe1","image-003","5"
"people gathered in a circle in a classroom with a window and blinds on the wall with a speaker below","people gathered in a circle in a classroom with a blank wall and a speaker behind them","wolfe1","image-003","6"
"a group of people engaged in a conversation in a room with a curtain on the wall.","a group of people sit in a circle while discussing something.","wolfe1","image-003","7"
"a man fishes into the water while sitting on wood that is held together with a chain","a man fishes into the water while sitting on wood ","wolfe1","image-004","1"
"a man sitting on the edge of the dock with a wooden addition chained to it.","a man sitting on the edge of the dock with a wooden addition chained to it, but by only one chain.","wolfe1","image-004","2"
"a person is sitting on a dock, next to a chain, fishing.","a person is sitting on a dock fishing","wolfe1","image-004","3"
"a man fishing on a wooden bench with a huge metal chain on it","a man fishing on a bench made of two wooden planks","wolfe1","image-004","4"
"five girls jump in the air in their cap and gowns while standing in front of a bench","five girls jump in the air in their cap and gowns while standing in front of a tree","wolfe1","image-005","1"
"five girls in graduation gowns jumping in the air with a bench behind them","five girls jumping in the air in red graduation gowns with no bench behind them.","wolfe1","image-005","2"
"five students in graduate outfits standing and celebrating in front of a bench","five students in graduate outfits standing and celebrating in front of a patch of grass","wolfe1","image-005","3"
"five graduates jumping and celebrating in front of a bench","five graduates jumping and celebrating in front of some grass","wolfe1","image-005","4"
"five female college graduates wearing their red graduation uniforms jump for joy in a courtyard near one of their college buildings with a bench behind them","five femail college graduates wearing their red graduation uniforms jump for joy in a courtyard near one of their college buildings with no bench behind them","wolfe1","image-005","5"
"a group of graduates celebrate in front of a bench.","a group of grdsuates celebrate the abscence of a bench. ","wolfe1","image-005","6"
"a 'jump for joy' graduation celebration of five graduates in front of a bench on the path","a 'jump for joy' graduation celebration of five graduates on an otherwise empty path","wolfe1","image-005","7"
"behind the jumping female graduates, there is a bench","behind the jumping female graduates there is grass","wolfe1","image-005","8"
"recent graduates celebrating in front of a park bench.","recent graduates celebrating in front of a park.","wolfe1","image-005","9"
"a living area with couch and kitchen with a microwave ","a living area with couch and kitchen with cabinets","wolfe1","image-006","1"
"a kitchen and living area with a microwave","a kitchen and living area","wolfe1","image-006","2"
"a living room with a white microwave in the kitchen area","a living room with a white wall in the kitchen area","wolfe1","image-006","3"
"a microwave sits on the counter in a white kitchen beside a black refrigerator","a white cabinet is next to a black refrigerator in a modern white kitchen","wolfe1","image-006","4"
"a luxurious and modern hotel room that features many appliances, such as a microwave, tv, refridgerator, and more","a luxurios and mdern hotel room that featuresa few appliances, such as a refridgerator, tv, and more","wolfe1","image-006","5"
"maybe a bus stop with cameras light poles and an awning","maybe a bus stop with cameras light poles ","wolfe1","image-007","1"
"train station on milwaukie has building in the distance with a large window in the center. ","train station on milwaukie has a building in the distance. ","wolfe1","image-007","2"
"a trolley stop in milwaukie, with a building in the background, and a structure with a black covering","a trolley stop in milwaukie, with a building in the background","wolfe1","image-007","3"
"a water way with a garbage can and an overhang light figure.","a water way with a garbage can and no light figure.","wolfe1","image-007","4"
"a street in milwaukee close to se water with a solar panel nearby","a street in milwaukee close to se water","wolfe1","image-007","5"
"transit area with solar panel","trn ","wolfe1","image-007","6"
"there is a woman petting a goat. there is a man in the background that is standing close to the sign.","there is a woman petting a goat. the man who was standing in front of the sign is gone.","wolfe1","image-008","1"
"a woman petting a deer in an outdoor setting, in the background is a man dressed in black clothing","a woman petting a deer in an outdoor setting","wolfe1","image-008","2"
"a petting zoo with a couple of reindeer next to a woman in the foreground and a man bending over, facing the viewer in the background","a petting zoo with a woman in a pink dress smiling at two reindeer in the foreground and a gravelly area of ground in the background near a group of other people","wolfe1","image-008","3"
"people at a petting zoo including a group of people in white shirts  and one in black at the rear of the zoo","people at a petting zoo including a group of people in white shirts at the rear of the zoo","wolfe1","image-008","4"
"a woman pettin a deer at what appears to be a petting zoo, there is a person in all black behind her to the right.","a woman petting a deer at a zoo, there is no person dressed in all black behind her","wolfe1","image-008","5"
"a farm with pigs and chickens in the foreground and people looking towards the horizon in the background, while there is one gray black chicken in the center","a groups of chickens and pigs gathered together in the foreground, with some people looking towards the horizon in the background and a swatch of dry grass in the middle of them","wolfe1","image-009","1"
"people are watching animals at the farm where some of the chickens are on both sides of the fence","people are watching animals at a farm with the chickens all on the same sid of the fence as the people are on","wolfe1","image-009","2"
"a group of farm animals is eating in front of a fence with a chicken just on the other side","a group of farm animals is eating in front of a fence","wolfe1","image-009","3"
"a bunch of animals on a farm and a chicken running nearby","a bunch of animals on a farm and  some hay in a fence nearby","wolfe1","image-009","4"
"preparing for skiis with yellow plate","preparing for skiis with luggage","wolfe1","image-010","1"
"there was one yellow cloth in the yellow box ","there was not placed yellow cloth in the yellow box ","wolfe1","image-010","2"
"a person setting up camp in the snow with their supplies spread out and a yellow bucket laying on its side. ","a person setting up camp in the snow with their supplies spread out.","wolfe1","image-010","3"
"guy unpacking supplies in the snow which include red, blue and yellow pails","guy unpacking supplies in the snw which include red and blue pails","wolfe1","image-010","4"
"someone sets up camp in the snow and a yellow piece of plastic is by their equipment","someone sets up camp in the snow and their equipment is all around them","wolfe1","image-010","5"
"a man in the snow with items including a yellow hat next to a red suitcase","a man in the snow with items including a red suitcase and a bucket with a blue garbage bag","wolfe1","image-010","6"
"a person in the snow setting up their supplies one of which is a yellow bucket","a person in the snow laying out all their supplies on the floor.","wolfe1","image-010","7"
"two cactus plants are on the table","one cactus plant is on the table.","wolfe1","image-011","1"
"a large room with table and a box plant and a chair off to the side.","a large room with table that doesn't have plant and has a chair and picture.","wolfe1","image-011","2"
"a room setting with objects on a low table. there is a small cactus next to a tall cactus.","a room setting with objects on the table. there is only one cactus present.","wolfe1","image-011","3"
"a minimalist looking room with a mirror and chair next to a low table with three plants","a minimalist looking room with a mirror and a chair next to a low table with two plants","wolfe1","image-011","4"
"a short coffee table bearing two small cactuses and other objects sits near a chair in a room","a short coffee table bearing a cactus and other objects sits hear a chair in a room","wolfe1","image-011","5"
"a table is in a sparsely decorated room, and on the table are books and plants. there is a large cactus and a small cactus on the table.","a table is in a sparsely decorated room, and on the table are books and plants. there is a large cactus on the table.","wolfe1","image-011","6"
"a plant sitting on a table with some books and 2 other plants.","a long table with some books and 2 plants","wolfe1","image-011","7"
"a small open building in a yard with a hammock and couch, next to it is a small concrete donut with plants in the center","a small open building in a yard with a hammock and a couch","wolfe1","image-012","1"
"a small building with a hammock, and a small circular object on the ground outside","a small building with a hammock","wolfe1","image-012","2"
"a grotto with a fire pit ","a grotto without a firepit","wolfe1","image-012","3"
"an interior and exterior seating area with a large and small planter","an interior and exterior seating area with a large planter. ","wolfe1","image-012","4"
"a relaxing indoor retreat with a small planter embedded in the stone in the front which surrounds it","a relaxing indoor retreat with stone surrounding it","wolfe1","image-012","5"
"a very modern cabin with a hammock and a fire pit","a very modern cabin with a hammock and a gravel yard","wolfe1","image-012","6"
"a small house with a manhole cover in front of it","a small house with gray rocks in front of it","wolfe1","image-012","7"
"a modern looking hammock house with a patch of grass enclosed in concrete in front of it.","a modern looking hammock house near some greenery","wolfe1","image-012","8"
"six men playing instruments outside of a store that has a sign on the building next to them","six men playing instruments outside of a store that has a plain building next to it","wolfe1","image-013","1"
"men in white shirts playing instruments outside of a building with a no loitering sign on the wall","men in white shirts playing instruments outside of a building with no signs on the wall","wolfe1","image-013","2"
"a band plaing music outdoors on a sidewalk, there is a small sign on the wall behind them.","a band playing music outdoors on a sidewalk, there is no sign on the wall behind them.","wolfe1","image-013","3"
"band in no smoking area","band in available smoking area","wolfe1","image-013","4"
"many people are enjoying an outdoor concert in the grass, there is a blanket with no one on it","many people are enjoying an outdoor concert in the grass","wolfe1","image-014","1"
"there is a crowd enjoying a musical performance at an outdoor theathe, there are blankets spread on the ground to sit on.","there is a crowd enjoying a musical performance at an outdoor theater.","wolfe1","image-014","2"
"people gather at a park to watch a concert while a blanket is spread out on the lawn but unoccupied","people gather at a park to watch a concert in the grass","wolfe1","image-014","3"
"people sitting on blankets on a lawn listening to a concert on a stage with a vacant blanket at the left","people sitting on blankets on a lawn listening to a concert on a stage with no blanket on the lawn to the left","wolfe1","image-014","4"
"people are sitting in a field for an outdoor concert with one empty blanket that no one is using","people are sitting in a field for an outdoor concert with a large patch of empty grass to the left side of the stage","wolfe1","image-014","5"
"people at an outdoor concert venue waiting for the show to start. there is one empty blanket off to the left. ","people at an outdoor concert venue waiting for the show to start. there is not an empty blanket anywhere. ","wolfe1","image-014","6"
"a large concert in an outdoor tent with a lot of people sitting on the ground and a baby in the grass alone","a large concert in an outdoor tent with a lot people sitting on the ground. there is no baby in the grass in this image","wolfe1","image-014","7"
"there is an empty blanket on the ground at the concert","there is no empty blanket on the ground at the concer","wolfe1","image-014","8"
"two men posing with a mascot with a garbage can in the background. ","two men posing with a mascot with no garbage can in the background.","wolfe1","image-015","1"
"two young guys playing around with the college mascot on a brick courtyard with a trashcan","two young guys playing around with the college mascot on a brick courtyard","wolfe1","image-015","2"
"two guys pose with an eagle cutout with a building and a garbage can in the background","two guys pose with an eagle cutout with a building in the background","wolfe1","image-015","3"
"two men with a bird mascot and a recycle bin and an art piece behind them","two men with a bird mascot and an art piece behind them","wolfe1","image-015","4"
"two friends with a cardboard cut out posing infront of a garbage can.","two friends posing with a cardboard cutout of a person in a bird suit. ","wolfe1","image-015","5"
"a bunch of people enjoying a day at the park where someone has dropped something","a bunch of people enjoying a day at the park with the pavement clear of debris","wolfe1","image-016","1"
"a black object sints on the ground in front of a woman in a brown skirt on a crowded playground","nothing sits on on the ground in front of a woman in a brown skirt on a crowded playground","wolfe1","image-016","2"
"crowds are being in the park one boy leg placed in the yellow box ","crowds are being in the park no ones leg placed in the yellow box ","wolfe1","image-016","3"
"there is a crowded city park with a playground and many children.  there is a dark object on the ground.","there is a crowded city park with a playground and many children.  the sidewalk is clear of objects.","wolfe1","image-016","4"
"a crowd of people at a park and something laying in the ground in front of a lady sitting on a bench.","a crowd of people at a park and a lady sitting on a bench with nothing on the ground in front of her.","wolfe1","image-016","5"
"a man playing golf close to a small flag with three other players.","a man playing golf with three other players.","wolfe1","image-017","1"
"a group of men are on a golf course golfing next a small box","a group of men are golfing on the fairway of a golf course","wolfe1","image-017","2"
"four men are playing golf outside on a course and thre is a dark object on the ground behind one man.","four men are playing golf outside on the a course and there are no dark objects on the ground.","wolfe1","image-017","3"
"a group of four men stand on a golf course, and one of them is getting ready to swing, and there is a peg in the ground behind him","a group of four men stand on a gold course, and one of them is getting ready to swing","wolfe1","image-017","4"
"men on a golf green with a small cube behind one of the men.","men on a golf green without a small cube behind one of the men. ","wolfe1","image-017","5"
"three men on a golf course watching a forth man putting, there is a small flag on the ground behind the forth man","three men on a golf course watching a fourth man putting","wolfe1","image-017","6"
"a group of men are watching a man hit a golf ball in the marked hole.","a group of men are watching a man hit a golf ball in an unmarked hole.","wolfe1","image-017","7"
"three men watching a fourth man at a golf course, where the fourth man is standing in front of a small tee flag and getting ready to hit the ball","three men watching a fourth man at a golf course, where the fourth man is getting ready to hit the ball","wolfe1","image-017","8"
"four men playing golf and the current golfer has something behind him.","four men playing golf","wolfe1","image-017","9"
"a group camps on a beach, their kayaks and tents and chairs set up on the sand, including one overlooking the horizon.","a group camps on a beach, their kayaks and tents and chairs set up on the sand, though none overlook the horizon.","wolfe1","image-018","1"
"a beach scene with kayaks, a tent, and an empty blue chair in the foreground","a beach scene with kayaks and a tent in the foreground","wolfe1","image-018","2"
"there is a beach with people, tents, and kayaks all around. there is a blue chair facing the water.","there is a beach with people, tents, and kayaks all around. there is no blue chair facing the water.","wolfe1","image-018","3"
"people camping next to canoes on the beach, there are beach chairs set up","people camping on the beach with their canoes right next to the water","wolfe1","image-018","4"
"crowds are being in the beach and something placed in the yellow box","crowds are being in the beach and no one placed in the yellow box","wolfe1","image-018","5"
"a chair sitting in front of a tent and beside some canoes on the beach.","a sandy beach with a white and yellow tent and some canoes.","wolfe1","image-018","6"
"a beach chair sits beside a yellow kayak on a beach","a yellow  kayak is pulled onto the shore beside a tent on a beach","wolfe1","image-018","7"
"there is a blue lawn chair right beside the yellow kayak","there is open sand behind the yellow kayak","wolfe1","image-018","8"
"a group of people rock climbing, one of the climbers is wearing red","a group of people rock cimbing","wolfe1","image-019","1"
"guy in red wall climbing","people wall climbing","wolfe1","image-019","2"
"people rock climbing including two people in black and one in red","people rock climbing including two people in black","wolfe1","image-019","3"
"people climbing the face of a short cliff with bags and gear on the ground and one man in a red shirt almost reaching the top.","people climbing the face of a short cliff with bags and gear on the ground.","wolfe1","image-019","4"
"people watch children in a park. one man has a pink beach bag.","people watch children in a park.","wolfe1","image-020","1"
"there is a group of people at an outside event. there is a man setting in the middle with a bag setting behind him.","there is a group of people at an outside event. there is a man setting watching but there is no bag setting next to him.","wolfe1","image-020","2"
"a man in a blue shirt sits next to a pink and white striped sack at an outdoor festival with many other people.","a  man in a blue shirt sits at an outdoor festival with many other people.","wolfe1","image-020","3"
"a group of people are sitting on towels and blankets in the grass, waiting for something, with a pink and white striped blanket in the center of the image.","a group of people are sitting on towels and blankets in the grass, waiting for something, with there being no blanket in the center of the image.","wolfe1","image-020","4"
"many people at park sitting on blankets, with a pink and white bag","many people at a park sitting on blankets ","wolfe1","image-020","5"
"an outdoor event with many people and a white tent. there is a pink and white striped bag on the grass","an outdoor event with many people and a whitee tent, there is no pink and white striped bag on the grass in this image","wolfe1","image-020","6"
"a pink and white striped bag sitting in a crowd","some grass in the middle of a crowd of people","wolfe1","image-020","7"
"there are four arrow holders.","there are three arrow holders.","wolfe1","image-021","1"
" four people and 1 watching shoot bow and arrow  there are 3 extra arrows","four people and 1 watching shoot bow and arrow there are 2 extra arrows","wolfe1","image-021","2"
"three women are aiming bows, preparing to fire. there is an extra quiver of arrors at the far end of the row.","three women are aiming bows, readying to fire their arrows.","wolfe1","image-021","3"
"a group of archers practices their shots, with every archer having a quiver and arrows at their feet.","a group of archers practices their shots, with the last archer's quiver and arrows being missing.","wolfe1","image-021","4"
"three women are firing arrows from four firing positions","three women are firing arrows from three firing positions","wolfe1","image-021","5"
"three runners jogging next to a building and two patches of grass that contain an object on one of them","three runners jogging next to a building and two patches of grass that are open and do not have any objects on them","wolfe1","image-022","1"
"three people running with a fountain and two benches visible in the background","three people running with a fountain and one bench visible in the background. ","wolfe1","image-022","2"
"joggers running past a fountain that has benches on either side","joggers running past a fountain that has benches on one side","wolfe1","image-022","3"
"people jog past a fountain with three american flags next to it","people jog by a fountain surrounded by green grass","wolfe1","image-022","4"
"three runners run past three birds behind them","three runners run past green grass behind them","wolfe1","image-022","5"
